"Material Description"
"Number of HRR Curves","02"
"Heat Flux",50
"Number of HRR Data Pairs",239
"sec,kw/m2"
0,7.80
5,67.70
10,149.80
15,203.80
20,228.00
25,235.80
30,239.30
35,236.20
40,237.10
45,233.70
50,232.30
55,226.60
60,221.30
65,217.00
70,212.30
75,207.70
80,203.10
85,200.30
90,197.50
95,191.10
100,184.80
105,180.90
110,176.30
115,175.10
120,170.90
125,167.90
130,167.70
135,167.00
140,165.80
145,163.10
150,162.00
155,161.00
160,157.30
165,155.90
170,152.90
175,151.80
180,149.00
185,147.70
190,144.20
195,140.70
200,139.70
205,135.60
210,132.50
215,129.70
220,126.30
225,122.40
230,119.90
235,117.30
240,114.70
245,112.20
250,110.60
255,108.70
260,106.80
265,104.40
270,103.30
275,101.80
280,101.10
285, 99.80
290,99.10
295,98.80
300,98.70
305,98.20
310,98.90
315,98.60
320, 99.50
325,100.10
330,102.00
335,103.10
340,105.60
345,107.60
350,109.90
355,112.20
360,115.90
365,118.40
370,123.60
375,129.80
380,133.70
385,140.00
390,145.30
395,151.20
400,159.50
405,167.40
410,176.70
415,186.30
420,195.30
425,205.40
430,216.90
435,226.30
440,236.90
445,249.90
450,262.10
455,272.60
460,285.80
465,294.80
470,308.70
475,318.80
480,330.70
485,339.00
490,348.80
495,353.40
500,360.90
505,358.30
510,352.10
515,335.10
520,306.60
525,262.60
530,214.50
535,175.70
540,146.50
545,122.70
550,108.90
555,98.20
560,92.10
565,87.20
570,83.60
575,81.10
580,77.40
585,74.60
590,73.00
595,70.30
600,68.40
605,66.90
610,65.60
615,65.30
620,63.80
625,63.10
630,63.10
635,61.30
640,60.80
645,60.00
650,59.10
655,57.50
660,58.30
665,58.30
670,57.30
675,55.60
680,55.30
685,55.40
690,55.90
695,54.80
700,53.90
705,52.50
710,52.20
715,50.90
720,51.30
725,50.90
730,50.70
735,51.10
740,51.20
745,50.40
750,50.00
755,50.10
760,50.20
765,49.40
770,48.70
775,49.50
780,49.00
785,49.10
790,49.50
795,47.80
800,48.10
805,48.90
810,47.80
815,47.70
820,47.10
825,47.60
830,47.20
835,46.70
840,47.50
845,47.60
850,47.50
855,46.90
860,46.00
865,46.20
870,46.20
875,46.40
880,46.40
885,46.10
890,46.90
895,46.20
900,47.00
905,46.60
910,45.70
915,45.90
920,46.10
925,46.10
930,45.50
935,45.70
940,45.60
945,46.00
950,45.50
955,45.50
960,46.60
965,46.00
970,46.30
975,45.50
980,45.40
985,46.00
990,45.20
995,45.10
1000,46.20
1005,44.70
1010,45.40
1015,45.20
1020,43.80
1025,44.80
1030,44.50
1035,43.70
1040,44.60
1045,43.70
1050,43.10
1055,44.60
1060,43.80
1065,43.80
1070,44.10
1075,43.10
1080,43.60
1085,44.70
1090,43.40
1095,42.90
1100,43.70
1105,43.20
1110,42.30
1115,43.00
1120,43.70
1125,42.90
1130,42.80
1135,43.80
1140,42.40
1145,42.20
1150,42.90
1155,43.40
1160,42.20
1165,41.90
1170,42.40
1175,42.40
1180,42.30
1185,42.10
1190,43.00
"Heat Flux",40
"Number of HRR Data Pairs",259
"sec,kw/m2"
0,35.20
5,112.70
10,167.80
15,193.00
20,208.60
25,212.00
30,215.80
35,212.20
40,210.80
45,207.60
50,201.20
55,197.30
60,193.20
65,187.30
70,182.20
75,180.20
80,176.30
85,172.40
90,172.50
95,166.50
100,161.60
105,158.70
110,153.30
115,149.80
120,146.20
125,144.60
130,140.60
135,139.10
140,136.20
145,134.80
150,133.40
155,130.00
160,126.70
165,124.10
170,122.40
175,119.90
180,116.90
185,115.70
190,113.00
195,112.10
200,111.50
205,110.80
210,107.90
215,107.10
220,106.30
225,104.50
230,102.60
235,101.50
240,100.60
245, 99.70
250,97.60
255,96.80
260,96.30
265,95.00
270,93.80
275,93.90
280,93.10
285,91.80
290,91.00
295,90.70
300,90.30
305,89.50
310,90.20
315,89.50
320,89.80
325,91.00
330,90.80
335,91.70
340,92.20
345,93.20
350,94.00
355,96.20
360,97.50
365, 99.50
370,100.90
375,102.80
380,105.70
385,109.20
390,111.40
395,114.50
400,117.20
405,121.30
410,125.90
415,130.30
420,134.60
425,140.30
430,145.80
435,150.40
440,156.60
445,162.40
450,170.00
455,178.70
460,190.10
465,199.10
470,214.30
475,230.50
480,245.90
485,258.90
490,271.60
495,282.60
500,287.00
505,292.90
510,295.10
515,294.10
520,299.00
525,312.70
530,321.10
535,336.70
540,344.40
545,351.20
550,341.50
555,321.50
560,285.50
565,238.50
570,195.10
575,159.20
580,134.50
585,115.20
590,102.40
595,94.00
600,87.60
605,83.30
610,80.50
615,77.40
620,75.10
625,72.30
630,70.40
635,67.40
640,64.50
645,63.80
650,63.20
655,62.40
660,60.00
665,59.40
670,57.80
675,56.90
680,55.80
685,55.30
690,54.30
695,53.80
700,53.50
705,52.70
710,52.90
715,51.80
720,51.50
725,51.10
730,50.80
735,50.50
740,49.50
745,49.00
750,48.60
755,47.80
760,46.90
765,46.20
770,45.90
775,46.10
780,45.80
785,45.50
790,46.20
795,46.10
800,46.10
805,46.10
810,45.80
815,45.50
820,45.70
825,45.00
830,45.40
835,46.20
840,45.70
845,45.30
850,46.10
855,47.50
860,47.00
865,47.00
870,47.20
875,46.60
880,46.00
885,46.20
890,46.20
895,46.00
900,46.90
905,46.60
910,45.80
915,46.20
920,46.00
925,46.00
930,46.70
935,46.90
940,46.40
945,45.30
950,45.60
955,46.90
960,46.10
965,46.30
970,45.80
975,46.40
980,46.00
985,45.60
990,45.40
995,45.70
1000,45.60
1005,46.00
1010,45.70
1015,45.30
1020,45.30
1025,45.70
1030,45.60
1035,45.80
1040,45.60
1045,45.10
1050,45.00
1055,44.50
1060,44.70
1065,44.30
1070,43.90
1075,44.80
1080,44.80
1085,44.50
1090,44.80
1095,45.60
1100,44.40
1105,43.60
1110,44.30
1115,43.40
1120,44.00
1125,44.10
1130,44.30
1135,44.30
1140,44.00
1145,43.90
1150,43.50
1155,43.60
1160,43.70
1165,43.50
1170,43.20
1175,43.60
1180,43.00
1185,43.80
1190,43.50
1195,42.50
1200,42.70
1205,42.90
1210,42.40
1215,42.20
1220,42.30
1225,42.40
1230,41.90
1235,41.90
1240,41.80
1245,42.00
1250,41.60
1255,41.00
1260,41.20
1265,41.60
1270,41.30
1275,41.00
1280,41.30
1285,40.60
1290,39.90
"Ignition Data"
"Number of Pairs",4
"flux kw/m2,ignition time sec, peak hrr kw/m2"
40,47,321
40,54,312
50,31,345
50,30,361
"Flame Spread Parameter",0
"Min Surface Temp For Spread",0
"Effective Heat of Combustion",0
