"PALLISIDE FOAMED PVC"
"Number of HRR Curves","05"
"Heat Flux",30
"Number of HRR Data Pairs",676
"sec,kw/m2"
0,30
.4,32.6
.8,36.3
1.3,39.6
1.8,42.7
2.2,45.4
2.7,48.4
3.2,48.6
3.6,51.9
4.1,54.4
4.6,56.7
5.1,59.5
5.5,62.2
6,69.4
6.5,75.3
6.9,75.7
6.9,80.5
7.4,83.6
7.9,83.7
8.3,83.9
8.8,87.5
9.3,90.5
9.7,92.3
10.2,92.3
10.7,94.6
11.1,94.8
11.6,95.2
12.1,96.5
13.5,98.6
15.4,100.2
15.8,101.5
17.2,101.5
17.7,101.8
18.2,102.8
18.6,106.6
18.6,107.7
20.5,107.2
21,107.3
21.5,107.2
22.9,108.3
24.7,109.7
25.2,110.8
25.7,111
27.1,109.6
27.6,109.7
28,110.7
28.5,111.5
29,110.8
29.4,112.4
30.8,112.2
31.3,112.8
31.8,112.5
32.2,112.4
32.7,112.5
33.2,113.8
33.6,114.3
35.5,114.1
35.5,112.6
36,111.8
36.5,113
36.9,112.9
37.4,111.7
37.9,110.4
38.3,111.5
38.8,112.1
39.3,111.2
39.7,109.2
40.2,108.7
40.7,108.6
41.1,108.2
41.6,106.8
42.1,106.1
42.6,106.4
43,106.1
43.5,106.1
43.5,106.5
45.4,105.8
45.8,104.9
46.3,104.8
46.8,104.5
47.2,104.1
47.7,103.5
48.2,103.6
48.6,103.8
49.1,102.9
49.6,101.5
49.6,100.8
50.1,101.2
50.5,101.8
51,101.2
51.5,101.1
51.9,99.7
52.4,99.3
52.9,100.1
53.3,100.3
53.8,99.7
54.3,98
54.7,98.2
55.2,99.1
55.7,98
56.1,98.4
56.6,99.4
56.6,97.4
57.1,95.1
57.6,94.3
58,94.8
58.5,94.4
59,94.3
59.7,94.8
60.6,93.1
61.5,93.4
62.4,94.1
63.4,94.1
64.4,93.5
65.3,93.8
66.2,93.7
67.6,92.3
68.5,92.9
69.5,91.4
70.4,92.4
71.4,91.3
72.2,91
74.4,88.7
74.9,88.8
75.6,88.9
76.3,88.5
77.5,87.7
78.4,88.2
79.1,88.8
80.3,86.5
81.5,87.1
82.6,86.6
83.6,85.8
84.5,85.6
85.4,84.5
86.4,83.6
87.3,83.8
88.3,82.7
89.3,81.6
90.6,81.4
91.5,81.8
92.2,81.2
93.4,80.6
94.4,80.2
95.2,79.5
96.5,78
97.6,77.2
98.5,76.4
99.5,76.4
100.4,75.8
101.4,74.5
102.1,73.8
103.3,73.4
104.4,72.3
105.6,72
106.5,71.9
107.5,70.8
108.3,71.1
109.4,70.8
110.3,70.6
111.3,70.3
112.6,68.5
113.6,68.9
114.4,68.7
115.4,68.2
116.4,67.2
117.3,67.3
118,65.6
119.4,66.4
120.5,66.3
121.5,64.6
123.6,64.7
124.1,64.1
124.6,64.3
125.2,63
126.5,62.9
127.6,62.5
128.6,61.6
129.4,61.9
130.4,61.4
131.4,61.1
132.2,60.1
133.3,60.3
134.4,60.1
135.4,59.6
136.5,58.8
137.5,57.8
138.3,56.9
139.4,57.4
140.3,57.1
141.5,56.6
142.4,56.5
143.6,56.5
144.5,56.3
145.4,55.3
146.4,54.8
147.3,54.6
148.2,53.5
149.4,53.1
150.6,52.1
151.5,51
152.5,49.6
153.4,48.9
154.3,48.2
155.3,47.9
156.5,47.5
157.6,47.5
158.6,46.7
159.5,47
160.4,46.8
161.4,46.3
162.3,46.2
163.2,45.3
164.4,45.1
165.6,44.9
166.5,45.1
167.5,45.1
168.4,44
169.4,43.8
170.1,42.9
171.5,42.7
172.6,42.9
174.7,42.7
175.2,43.1
175.7,43
176.3,42.9
177.3,41.9
178.3,41
179.3,40.8
180.6,39.6
181.5,40.3
182.4,39.7
183.4,39.3
184.4,38.8
185.2,38.9
186.5,38.6
187.6,38.5
188.5,38.7
189.5,38
190.4,37.8
191.3,37.9
192.3,37.4
193.3,37.2
194.4,36.5
195.6,35.7
196.5,34.6
197.4,34.7
198.4,34.8
199.4,34.1
200.3,33.7
201.2,33.4
202.6,33.7
203.5,33.2
204.5,33.2
205.4,33.6
206.3,33.3
207.3,32.8
208.3,32.8
209.4,32.9
210.6,32.4
211.5,32.4
212.5,32.3
213.2,31.9
214.4,31.5
215.3,31.7
216.3,31.5
217.6,31.1
218.6,31.4
219.4,30.8
220.4,31.1
221.4,31.6
222.3,32.3
224.4,31.4
224.9,29.7
225.5,27.9
226.5,26.1
227.5,25.7
228.4,24.4
229.1,24
230.3,22.8
231.5,21.8
232.6,20.5
233.6,19.7
234.5,18.7
235.2,17.5
236.4,17
237.3,16.6
238,16.6
239.4,16.4
240.5,16.1
241.5,16.2
242.5,16.2
243.4,16
244.1,16.2
245.3,16.2
246.5,17
247.6,17
248.6,17
249.5,17.1
250.2,17.3
251.4,16.8
252.3,16.9
253.2,16.7
254.4,16.2
255.6,15.1
256.3,15.1
257.5,14.4
258.4,14.5
259.3,13.8
260.3,13.5
261.5,12.9
262.6,12.5
263.6,13
264.5,12.3
265.4,12.1
266.3,12
267.3,12.3
268.3,11.6
269.3,11.7
270.6,11.6
271.5,11.3
273.2,11.5
273.6,10.8
274.4,11.1
275.3,11.3
276.5,11
277.6,11.3
278.6,11.4
279.5,11.5
280.2,11.6
281.4,11.9
282.3,11.8
283.2,11.6
284.4,11.8
285.6,11.5
286.5,11.7
287.5,11.6
288.4,11.6
289.3,11.5
290.3,11.6
291.5,11.4
292.6,11.6
293.3,11.3
294.5,11
295.4,10.6
296.3,11
297.3,10.5
298.3,11
299.3,11.3
300.6,11.4
301.5,11.9
302.4,11.7
303.4,11.8
304.4,11.6
305.3,11.7
306.3,11.6
307.6,11.6
308.6,10.9
309.3,10.9
310.4,10.9
311.4,11
312.2,11
313.3,10.9
314.4,10.9
315.5,10.9
316.5,10.9
317.5,11.5
318.3,11.5
319.4,11.8
320.3,11.5
321.5,11.5
322.6,11.7
324.7,11.6
325.2,11.5
325.7,11.5
326.4,11.4
327.2,11.5
328.3,11.7
329.4,11.3
330.5,10.9
331.5,10.5
332.5,10.2
333.4,10.8
334.3,11.1
335.3,11.1
336.5,11.7
337.6,11.5
338.6,11.7
339.5,11.6
340.4,11.5
341.4,11.6
342.3,11.3
343.3,11.6
344.2,11.4
345.6,10.9
346.5,11.3
347.5,11
348.4,11
349.4,10.9
350.1,10.9
351.5,11.6
352.6,11.6
353.6,11.8
354.5,11.6
355.4,11.8
356.1,11.6
357.3,11.8
358.3,11.6
359.3,11.2
360.6,11.7
361.5,11.3
362.4,11
363.4,10.9
364.4,11.3
365.3,11.7
366.2,12
367.6,12.6
368.5,12.2
369.5,11.9
370.4,11.9
371.4,11.8
372.1,11.9
373.3,11.8
374.4,11.5
375.6,11.2
376.5,11.2
377.5,10.8
378.3,11.3
379.4,11.5
380.3,11.9
381.5,12
382.6,11.8
383.6,11.8
384.4,11.8
385.4,12
386.4,11.7
387.3,11.9
388,11.7
389.4,11.1
390.6,11.6
391.3,11.4
392.5,11.6
393.4,12
394.3,11.9
395.3,11.9
396.5,11.8
397.4,12.3
398.6,12
399.5,11.9
400.2,11.8
401.4,12
402.3,12
403.2,11.6
404.4,11.5
405.6,11.7
406.3,12
407.5,12
408.4,12.6
409.4,12
410.1,11.6
411.5,11.7
412.6,11.6
413.6,11.5
414.5,11.6
415.4,11.3
416.1,11.6
417.3,11.1
418.3,11.5
419.3,11.7
420.6,12.1
421.5,12.5
423.6,11.9
424.1,12.2
424.6,11.9
425.3,11.9
426.3,11.9
427.6,11.5
428.6,11.7
429.3,11.7
430.4,11.6
431.4,12
432.2,11.9
433.3,12.6
434.4,11.9
435.4,12.5
436.5,12.1
437.5,11.9
438.3,11.9
439.4,11.7
440.3,11.8
441.5,11.6
442.6,11.9
443.6,12.5
444.5,12.5
445.4,12.6
446.4,11.9
447.3,12.2
448.2,12.3
449.4,11.9
450.6,11.9
451.5,11.5
452.5,11.6
453.4,11.6
454.3,12
455.3,12.2
456.5,12.5
457.6,12.7
458.6,11.9
459.5,12.2
460.4,12
461.3,11.9
462.3,11.9
463.3,11.5
464.4,11.9
465.6,12.2
466.5,12.6
467.4,12.6
468.4,12.7
469.4,12.6
470.2,12.3
471.5,12.2
472.6,11.8
473.6,11.6
474.4,12
475.4,11.8
476.4,12.5
477.2,13
478.3,12.9
479.4,12.7
480.5,12.5
481.5,12.5
482.5,12.7
483.3,12
484.4,11.9
485.3,11.8
486.5,12.3
487.6,12.8
488.6,12.8
489.5,12.9
490.4,12.6
491.4,12.8
492.3,12.8
493.3,12.6
494.2,12.1
495.6,11.6
496.5,11.9
497.5,12.5
498.4,12.9
499.4,12.9
500.1,12.8
501.5,12.8
502.6,12.5
503.6,12.4
504.5,12.3
505.4,12
506.1,12.1
507.3,11.9
508.3,12.9
509.4,12.9
510.6,12.7
511.5,13
512.4,12.3
513.4,12.7
514.4,12
515.2,12.3
516.5,11.9
517.6,11.6
518.5,12.5
519.5,12.5
520.4,13
521.1,12.6
522.3,12.7
524.9,12.6
525.4,12.4
525.6,12.5
526.5,12
527.5,12
528.4,12.4
529.1,13
530.3,12.9
531.5,12.8
532.6,12.8
533.6,12.5
534.5,12.3
535.4,11.8
536.4,11.9
537.3,12.6
538.3,12.8
539.3,12.9
540.6,13
541.5,12.5
542.5,12.7
543.4,12.6
544.4,12.2
545.1,11.9
546.5,12.4
547.6,13
548.6,13
549.5,13.1
550.4,13.1
551.3,12.5
552.3,12.6
553.3,12
554.3,11.9
555.6,11.9
556.5,12
557.4,13
558.4,12.6
559.4,12.5
560.3,12.5
561.3,12.4
562.6,11.7
563.6,11.7
564.3,12.1
565.4,12.5
566.4,12.8
567.2,12.5
568.3,12.6
569.4,12.6
570.4,12.3
571.5,12.1
572.5,12
573.3,11.8
574.4,12.6
575.3,12.5
576.5,12.8
577.6,12.6
578.6,12.7
579.5,12.8
580.4,12.5
581.4,12.3
582.3,12
583.2,12.3
584.4,12.8
585.6,13
586.3,12.8
587.5,12.8
588.4,12.7
589.3,12.7
590.3,12.1
591.5,12.2
592.6,12.3
593.6,12.8
594.5,12.9
595.4,12.9
596.4,12.7
597.3,12.7
598.3,12.3
599.3,12.5
600.6,12.3
601.5,12.7
602.4,12.9
603.4,12.7
604.4,13
605.2,12.6
606.5,12.8
607.6,12.6
608.5,11.9
609.5,12.5
610.4,12.9
611.3,12.9
612.3,0
613.3,0
614.4,0
615.6,0
616.5,0
617.4,0
618.4,0
619.4,0
620.3,0
621.3,0
622.6,0
625.2,0
625.7,0
626.1,0
626.6,0
"Heat Flux",50
"Number of HRR Data Pairs",838
"sec,kw/m2"
0,30
.4,37.4
.9,50.2
1.3,61.5
1.8,68.4
2.3,67.7
2.7,63.2
3.2,54.4
3.7,46.8
4.1,41.7
4.6,38.5
5.1,35.1
5.1,34.4
5.5,31.6
6,31.2
6.5,30.9
7.4,29.5
8.6,28.6
9.5,29.4
10.5,29
11.4,28.7
12.3,28.8
13.2,28.3
14.5,29.3
15.6,28.8
16.5,28.9
17.5,28.8
18.4,29.7
19.4,29.2
20.2,29.1
21.2,29.1
22.4,29.8
23.4,29.3
24.5,29.3
25.5,29.4
26.3,30.2
27.3,30.2
28.3,29.8
29.5,30.1
30.6,30.4
31.6,30
32.5,30.1
33.4,30.5
34.4,30.5
35.3,30.7
36.2,30.3
37.4,31.5
38.5,37
39.5,48.7
40.5,68.3
41.4,75.8
42.3,90.1
43.3,104.7
44.5,116.7
45.5,127.3
46.6,133
47.5,134.3
48.4,137.2
49.3,142.7
50.3,143
51.2,148.9
52.3,153.9
53.6,157
54.5,158.8
55.5,158.7
56.4,160.3
57.3,160.6
58,162.1
59.5,160.3
60.5,160.3
61.6,159.1
62.5,160.1
63.4,156.9
64.4,155.7
65.1,156.4
66.2,153.5
67.4,153.1
68.6,157.4
69.5,155.7
70.5,157.5
71.4,156
72.1,155.1
73.3,152.2
74.5,154.3
75.6,154.7
76.6,154.5
77.5,153.9
78.4,154
79.4,154.2
80.3,155.7
81.2,153.1
82.2,154.1
83.6,153.2
84.5,153.2
85.5,153.3
86.4,154
87.3,152.5
88.3,151.7
89.2,153.7
90.6,153.5
91.5,151.2
92.5,152.7
93.4,151.5
94.4,152
95.1,151.2
96.2,152.1
97.4,147.1
98.6,149
99.5,147.5
100.5,145.1
101.4,142.7
102.1,140.9
103.3,136.8
104.5,132.2
105.6,130.7
106.6,129.3
107.4,127.6
108.4,126.9
109.4,127.6
110.3,125.9
111.2,125.4
112.4,126.2
113.6,126.7
114.5,126.6
115.5,128.2
116.4,128.7
117.3,128.9
118.2,128
119.5,130
120.6,132.2
121.6,131.4
122.3,131
123.4,129.9
124.4,128.3
125.3,128.5
126,129.4
127.4,128.2
128.6,128
129.5,129.5
130.5,129.6
131.4,128.5
132.3,128.4
133,129.4
134.5,132.3
135.5,132.7
136.6,132.9
137.5,131.1
138.4,130.6
139.3,129.6
140.3,127.7
141.2,126.8
142.4,125.2
143.6,124.6
144.5,125.5
145.4,124.1
146.4,124.2
147.3,123
148.3,124.9
149.3,125
150.6,126
151.6,125.1
152.3,124.7
153.4,124.3
154.4,124.3
155.2,123.8
156.2,123.2
157.4,123.1
158.6,121.6
159.3,121.1
160.5,121.8
161.4,121.7
162.3,120.9
163.3,121.7
164.5,120.4
165.4,119.8
166.6,120.1
167.5,119.1
168.4,117.8
169.3,118.5
170.3,116.5
171.2,118.2
172.3,118
173.6,119.5
174.5,118.8
175.4,118.5
176.4,118.5
177.3,117.6
178.3,116.4
179.3,116.7
180.6,116.7
181.6,116.4
182.4,115.4
183.4,115.3
184.4,113.8
185.3,114.1
186.2,112.8
187.4,112.8
188.6,114.6
189.5,112.1
190.5,112.7
191.4,111.1
192.3,110.5
193.2,108.7
194.5,108
195.6,108.1
196.5,107.5
197.5,106.7
198.4,108.1
199.4,107.6
200.2,108.6
201.2,107.6
202.4,107.8
203.5,107.9
204.5,106.1
205.5,106.4
206.4,107.1
207.3,106.4
208.3,106.8
209.5,105
210.6,104.6
211.6,102.6
212.4,103.6
213.4,104.7
214.4,103.2
215.3,104.1
216.2,105.2
217.4,104.3
218.6,106.1
219.5,107.5
220.5,107.2
221.4,107.5
222.3,106.2
223.3,106.1
224.5,106.4
225.5,107
227.7,105.7
228.2,105.4
228.7,105.4
229.1,105.2
230.3,104
231.2,104.4
232.3,103.9
233.6,104.7
234.5,103.6
235.2,103
236.4,101.7
237.3,103.1
238.2,101.3
239.5,99.8
240.6,100.3
241.5,99.4
242.5,98.5
243.4,97.8
244.4,98.8
245.1,99
246.2,98
247.4,99.7
248.6,99.7
249.5,99.2
250.5,98.2
251.2,99
252.3,98.5
253.3,97.2
254.5,96.9
255.6,96.5
