"Aged Ply"
"Number of HRR Curves","03"
"Heat Flux",25
"Number of HRR Data Pairs",172
"sec,kw/m2"
0,30
1.2,39.3
6.2,100.2
11.2,124.6
16.2,125.2
21.2,123.5
26.2,117.1
31.2,115.1
36.2,113.5
41.2,112.7
46.2,110.3
51.2,104.6
56.2,106.7
61.2,105.9
66.2,99.7
71.2,93.1
76.2,87.1
81.2,81.4
86.2,79.6
91.2,78.3
96.2,76
101.2,74.7
106.2,72.4
111.2,72.3
116.2,71.5
121.2,69.1
126.2,69.8
131.2,68
136.2,67.7
141.2,70.3
146.2,72.9
151.2,71.6
156.2,72.2
161.2,76.8
166.2,78.9
171.2,82.5
176.2,85.8
181.2,92.1
186.2,98.3
191.2,103.5
196.2,108
201.2,112.8
206.2,117.4
211.2,123.7
216.2,131.4
221.2,135.4
226.2,136.5
231.2,138.2
236.2,137.5
241.2,134.3
246.2,130.6
251.2,122.7
256.2,117.7
261.2,115.8
266.2,111.5
271.2,105.1
276.2,98.3
281.2,93.6
286.2,90.8
291.2,83.6
296.2,78.4
301.2,73.9
306.2,71.5
311.2,69.4
316.2,65.2
321.2,64.4
326.2,64
331.2,63.6
336.2,60.4
341.2,57.1
346.2,55.3
351.2,52.6
356.2,49.3
361.2,48.5
366.2,49.5
371.2,47.7
376.2,43.1
381.2,39.7
386.2,38.3
391.2,38
396.2,39.1
401.2,37.9
406.2,37.5
411.2,34.3
416.2,32.6
421.2,31.6
426.2,33.1
431.2,31.1
436.2,31.3
441.2,31.6
446.2,32.3
451.2,31.7
456.2,31.1
461.2,31.3
466.2,31.1
471.2,32.6
476.2,32.1
481.2,31.5
486.2,31.5
491.2,33.2
496.2,32
501.2,32.8
506.2,33.9
511.2,34
516.2,33.6
521.2,34.3
526.2,34.2
531.2,33.3
536.2,34.1
541.2,32.8
546.2,30.9
551.2,32
556.2,31.5
561.2,32.6
566.2,33.4
571.2,32.5
576.2,31.1
581.2,31.1
586.2,32.2
591.2,34.8
596.2,36.4
601.2,33.4
606.2,33.1
611.2,32.2
616.2,31.8
621.2,32.3
626.2,33
631.2,33.5
636.2,32.9
641.2,33.4
646.2,32.3
651.2,34.1
656.2,34.8
661.2,34.7
666.2,32.7
671.2,32.5
676.2,32.6
681.2,32.5
686.2,33
691.2,32.6
696.2,33
701.2,33.6
706.2,32.1
711.2,31.1
716.2,33.4
721.2,33.3
726.2,33.1
731.2,31.6
736.2,31.9
741.2,31.7
746.2,32.9
751.2,32.6
756.2,32.3
761.2,32
766.2,32.8
771.2,34.7
776.2,34.9
781.2,35.8
786.2,33.4
791.2,33.6
796.2,33.6
801.2,34.2
806.2,33.2
811.2,33
816.2,34
821.2,33.5
826.2,33.7
831.2,31.3
836.2,32.4
841.2,32.8
846.2,32.9
0,0
"Heat Flux",35
"Number of HRR Data Pairs",130
"sec,kw/m2"
0,30
2.5,57.5
7.5,116
12.5,130.3
17.5,128.9
22.5,127.3
27.5,123.3
32.5,122
37.5,119.3
42.5,116.1
47.5,116
52.5,119.8
57.5,117.3
62.5,112.2
67.5,108.3
72.5,100.2
77.5,95.4
82.5,87.7
87.5,85.7
92.5,84.7
97.5,87.8
102.5,89.3
107.5,90.8
112.5,91.5
117.5,92.2
122.5,91.7
127.5,87.4
132.5,84.4
137.5,79.7
142.5,80.9
147.5,78.1
152.5,77
157.5,76.6
162.5,78.6
167.5,83.7
172.5,86
177.5,94.4
182.5,101.3
187.5,110.4
192.5,119.1
197.5,134.6
202.5,152.7
207.5,175.1
212.5,188.6
217.5,206.6
222.5,217.4
227.5,217.2
232.5,210.6
237.5,200
242.5,180.5
247.5,160.4
252.5,142.2
257.5,121.4
262.5,111.1
267.5,101
272.5,92.1
277.5,88.3
282.5,80.8
287.5,73.9
292.5,69.7
297.5,65.4
302.5,62.3
307.5,58.6
312.5,55
317.5,50.5
322.5,48.5
327.5,46.2
332.5,43.6
337.5,41.2
342.5,39.8
347.5,39.4
352.5,37.2
357.5,37.2
362.5,38.5
367.5,37.7
372.5,36.9
377.5,36.8
382.5,36.7
387.5,36.8
392.5,36.8
397.5,36.9
402.5,36.3
407.5,35.5
412.5,36.1
417.5,35.6
422.5,36.8
427.5,34.8
432.5,35.5
437.5,34.8
442.5,35.8
447.5,36.3
452.5,34.8
457.5,35.3
462.5,34.3
467.5,35.9
472.5,35.5
477.5,34.6
482.5,34.8
487.5,35.4
492.5,34.4
497.5,34.8
502.5,33.5
507.5,33.9
512.5,33.2
517.5,32.5
522.5,34
527.5,33.4
532.5,34.1
537.5,34.2
542.5,34.5
547.5,34.1
552.5,32.9
557.5,34.2
562.5,33.4
567.5,32.7
572.5,33.1
577.5,34.1
582.5,33.1
587.5,34.2
592.5,32.9
597.5,31.2
602.5,32.5
607.5,31.5
612.5,31.7
