"Material Description"
"Number of HRR Curves","03"
"Heat Flux",25
"Number of HRR Data Pairs",77
"sec,kw/m2"
0,30
.8,43.9
2.8,90.9
5.3,127.1
7.3,156.6
9.3,180.3
11.4,189
13.3,188.6
15.9,184.2
18.1,180.5
20.1,165.1
22.1,157.3
24.1,150.3
26.6,142.4
28.6,134.6
30.6,118.8
32.6,106.1
34.6,94.5
37,82.2
39,68.5
41.2,51.8
43.2,41.8
45.2,34.7
47.7,30.5
49.7,27.7
51.7,25.8
53.7,24.8
55.7,24.2
58.2,24.3
60.2,25
62.5,24.7
64.5,24.2
66.5,24.2
69,24.4
71,24.2
73,25.2
75,25.4
77,26.1
79.6,27.5
81.6,29.2
83.6,29.4
85.9,28.4
88,28
90.5,26.9
92.5,27.3
94.6,28
96.6,27.4
98.6,27.7
101.1,27.3
103.1,27.5
105.1,27.9
107.1,27.3
109.4,27.9
111.9,26.8
113.9,27.1
115.9,26.3
117.9,26.1
119.9,25.9
122.5,24.9
124.5,25.2
126.5,25.1
128.5,24.3
130.8,24.4
133.3,23.2
135.3,23.1
137.4,22.8
139.4,21.5
141.4,20.9
143.9,20.2
145.9,18.5
147.9,17.4
149.9,17.6
151.9,16.8
154.8,16.2
156.7,15.6
158.7,14.1
160.7,14.2
"Heat Flux",35
"Number of HRR Data Pairs",85
"sec,kw/m2"
0,30
1.9,90.3
4.4,149.2
6.4,199.4
8.4,240.3
10.4,250.4
12.4,256.8
14.9,254.8
16.9,235.1
18.9,200
21.1,178.3
23.1,159.4
25.6,141.7
27.6,126.8
29.6,111.7
31.6,101
33.6,90.9
36.1,80
38,71.2
40,61.1
42.3,53.9
44.3,48
46.8,42.6
48.8,36.9
50.8,33.4
52.8,32.4
54.7,30.3
57.2,30.5
59.2,30.1
61.3,28.5
63.3,28.8
65.5,29.5
68.1,29.1
70,28.4
72,26.9
74,27.5
76,26.5
78.5,27.5
80.5,26.1
82.5,27.4
84.5,27.7
86.5,27.9
89.3,27.7
91.3,27.7
93.3,25.9
95.3,26
97.3,26.5
99.7,26.2
101.8,25.6
103.8,25.4
105.8,25.1
107.7,26.2
110.6,25.5
112.6,26.4
114.6,25.8
116.6,26.4
118.6,25.8
121.1,24.6
123.1,24.9
125.1,22.9
127.1,22
129.1,22.4
131.6,23.4
133.8,22.5
135.8,21.1
137.8,21.1
139.8,20.9
142.2,20.6
144.2,20.4
146.2,20
148.2,18.5
150.2,18.7
152.7,19.6
154.6,19.2
156.8,18.7
158.8,16.8
160.8,16.6
163.3,16.8
165.3,17.3
167.3,16.8
169.3,16.9
171.3,15.4
173.8,14.8
175.8,15.1
178,13.8
"Heat Flux",50
"Number of HRR Data Pairs",81
"sec,kw/m2"
0,30
.5,42.2
2.5,135.8
4.5,187.6
6.9,230.1
8.9,257
10.9,295.1
12.9,324.3
14.9,313.6
17.7,280.8
19.6,231.8
21.6,188.2
23.6,160.8
25.6,147
28,133.5
30,123.5
32,107.9
34,100.1
36,92.2
38.8,83.9
40.8,76.4
42.8,64.1
44.8,55.7
46.8,46.1
49.3,42.6
51.2,39.1
53.2,35.6
55.2,33.8
57.2,33.2
59.7,33.5
62,31.8
64,29.7
66,29.6
68,28.9
70.4,28.2
72.4,27.7
74.4,26.6
76.4,26.1
78.4,25
80.9,24.3
82.9,24.5
85,24.1
87,23.4
89,22.7
91.4,21.8
93.4,21.6
95.4,22.5
97.4,22.9
99.4,22.5
101.9,23.2
103.9,23.1
106.1,22.5
108.1,22
110.1,21.7
112.6,20.9
114.6,20.3
116.6,19.1
118.6,19.1
120.6,19.1
123.1,19.2
125.1,18.4
127.1,18.3
129.4,18.9
131.4,18.6
133.9,17.7
135.9,17.2
137.9,16.7
139.9,15
141.9,15.8
144.3,14.4
146.3,15.4
148.3,14.4
150.3,13.8
152.6,14.2
155.1,14
157.1,14.5
159.1,14
161.1,14.2
163.1,13.8
165.6,13.3
167.6,13.9
"Ignition Data"
"Number of Pairs",6
"flux kw/m2,ignition time sec, peak hrr kw/m2"
25,128.9,189
25,132.4,199.8
35,55,256.8
35,44.3,221.9
50,19.7,324.3
50,22.3,311.9
"Flame Spread Parameter",0
"Min Surface Temp For Spread",0
"Effective Heat of Combustion",0
