"Varnished mass timber, pine, 10 mm, 380 kg/m3 (M05)"
"Number of HRR Curves","02"
"Heat Flux",35
"Number of HRR Data Pairs",215
"sec,kw/m2"
0,45.10
5,126.60
10,168.60
15,164.00
20,149.50
25,133.50
30,120.70
35,112.50
40,107.50
45,103.60
50,98.80
55,93.60
60,88.90
65,85.50
70,82.00
75,79.20
80,76.70
85,73.70
90,71.70
95,70.00
100,68.90
105,67.20
110,65.40
115,65.30
120,65.40
125,65.00
130,64.10
135,64.30
140,65.10
145,66.20
150,66.10
155,66.40
160,67.20
165,68.30
170,70.40
175,71.60
180,73.10
185,74.60
190,76.60
195,78.50
200,79.80
205,81.80
210,84.40
215,87.40
220,90.20
225,92.70
230,95.20
235,97.30
240,100.10
245,103.40
250,105.80
255,108.80
260,111.10
265,113.20
270,115.80
275,117.20
280,119.40
285,120.30
290,120.80
295,122.10
300,122.60
305,121.60
310,121.50
315,120.20
320,118.00
325,115.50
330,112.60
335,108.30
340,103.80
345, 99.90
350,95.00
355,90.00
360,87.00
365,82.50
370,76.50
375,69.50
380,64.70
385,60.40
390,55.50
395,51.50
400,48.60
405,46.70
410,44.70
415,43.50
420,42.40
425,40.30
430,39.00
435,38.90
440,39.00
445,39.70
450,39.20
455,39.30
460,39.50
465,39.80
470,40.10
475,39.90
480,40.10
485,39.90
490,39.50
495,38.90
500,39.60
505,39.60
510,39.40
515,38.60
520,37.80
525,37.60
530,37.60
535,37.20
540,36.50
545,35.80
550,36.30
555,36.00
560,35.40
565,35.00
570,34.20
575,33.90
580,33.50
585,33.10
590,32.90
595,32.70
600,31.90
605,31.40
610,30.80
615,30.60
620,30.60
625,30.00
630,29.60
635,29.30
640,28.60
645,28.60
650,28.90
655,28.70
660,28.30
665,27.70
670,27.70
675,28.10
680,27.40
685,27.60
690,27.80
695,27.30
700,27.50
705,27.30
710,27.10
715,26.60
720,26.30
725,26.00
730,25.70
735,25.80
740,25.60
745,25.40
750,25.50
755,25.50
760,25.60
765,25.60
770,25.10
775,24.80
780,24.30
785,24.20
790,24.20
795,23.40
800,23.00
805,22.70
810,22.80
815,22.80
820,22.60
825,22.40
830,21.90
835,21.60
840,21.70
845,21.80
850,21.80
855,21.30
860,21.30
865,21.00
870,21.10
875,21.20
880,20.50
885,20.10
890,20.40
895,20.20
900,20.20
905,19.90
910,20.00
915,20.10
920,19.20
925,19.00
930,18.80
935,18.20
940,18.50
945,18.40
950,18.10
955,17.70
960,17.40
965,17.00
970,16.90
975,16.80
980,16.10
985,16.40
990,15.90
995,15.90
1000,15.90
1005,16.10
1010,16.00
1015,15.30
1020,15.10
1025,14.60
1030,15.20
1035,15.70
1040,15.90
1045,16.00
1050,15.90
1055,15.20
1060,14.70
1065,15.30
1070,14.90
"Heat Flux",50
"Number of HRR Data Pairs",186
"sec,kw/m2"
0,63.40
5,169.80
10,217.60
15,205.80
20,179.00
25,157.10
30,140.20
35,127.50
40,121.30
45,115.40
50,110.30
55,106.90
60,101.70
65,97.10
70,92.40
75,88.60
80,85.30
85,81.90
90,80.10
95,78.70
100,77.50
105,77.20
110,75.80
115,75.70
120,75.40
125,75.40
130,76.20
135,77.20
140,78.90
145,80.90
150,82.40
155,83.30
160,85.30
165,86.10
170,89.20
175,93.20
180,98.60
185,100.00
190,102.30
195,106.10
200,108.20
205,111.10
210,114.90
215,117.70
220,121.60
225,125.00
230,130.00
235,135.20
240,138.90
245,141.80
250,145.20
255,147.70
260,147.10
265,147.90
270,147.40
275,144.30
280,141.90
285,136.70
290,130.30
295,123.50
300,116.90
305,110.00
310,103.00
315,97.30
320,90.50
325,83.20
330,75.70
335,76.10
340,81.80
345,82.20
350,78.70
355,74.60
360,70.50
365,67.90
370,64.00
375,61.80
380,59.80
385,58.80
390,57.70
395,56.40
400,55.90
405,56.10
410,54.60
415,52.90
420,52.00
425,51.80
430,50.60
435,49.40
440,49.10
445,48.80
450,48.30
455,48.30
460,46.90
465,45.90
470,45.80
475,44.80
480,44.30
485,44.40
490,44.20
495,42.80
500,42.70
505,42.70
510,42.40
515,41.70
520,40.80
525,40.80
530,40.40
535,40.10
540,39.20
545,39.10
550,38.80
555,37.80
560,37.20
565,37.40
570,37.00
575,36.80
580,36.30
585,35.10
590,35.10
595,35.10
600,35.20
605,35.00
610,34.40
615,33.60
620,33.50
625,32.80
630,32.20
635,31.90
640,31.70
645,31.10
650,30.80
655,30.20
660,29.50
665,29.50
670,28.50
675,28.00
680,28.10
685,27.70
690,26.70
695,26.40
700,25.90
705,25.30
710,24.90
715,24.60
720,23.80
725,23.50
730,22.90
735,22.40
740,22.20
745,21.80
750,20.90
755,20.40
760,20.00
765,19.10
770,18.10
775,17.10
780,16.80
785,16.40
790,15.20
795,14.30
800,14.00
805,13.60
810,12.90
815,12.30
820,11.90
825,11.90
830,11.20
835,10.80
840,10.70
845,10.30
850,10.10
855, 9.70
860,8.90
865,9.30
870,8.60
875,8.30
880,7.90
885,7.30
890,7.80
895,7.00
900,6.90
905,7.00
910,6.80
915,6.60
920,6.10
925,6.20
"Ignition Data"
"Number of Pairs",2
"flux kw/m2,ignition time sec, peak hrr kw/m2"
35,24,169
50,12,218
"Flame Spread Parameter",0
"Min Surface Temp For Spread",0
"Effective Heat of Combustion",0
