s,C, C, m, Pa, 1 / m, 1 / m, kW, m, m, m ^ 2, m ^ 2,
Time,ULT_1,LLT_1,HGT_1,PRS_1,ULOD_1,LLOD_1,HRR_1,FLHGT_1,FBASE_1,FAREA_1,HVENT_1,
0,20,20,2.69973,0,0.000458753871498629,0.000458753871498629,1E-06,-2.03014695008155,0.3,2.25,1.52,
20,31.1729403515901,20.1793054621073,2.27339793613272,-0.0432842294000501,0.521304547786713,0.000458473106846213,18.7600001692772,-1.27187411432869,0.3,2.25,1.52,
40,57.8356300403963,21.9179977403247,1.66786414264026,-0.10464794396391,1.64098942279816,0.000455769884865731,75.0400006771088,-0.709223922957336,0.3,2.25,1.52,
60,106.327547711399,26.5862061816892,1.42257195059656,-0.307097018685028,3.58051252365112,0.000448667124146596,168.840001523495,-0.202738121633069,0.3,2.25,1.52,
80,177.928321108105,34.7326655203714,1.38799778093277,-0.605698270835441,6.26367425918579,0.000436788453953341,300.160002708435,0.270406959116673,0.3,2.25,1.52,
100,262.144599591638,47.3645330299078,1.38782226212929,-1.00181352527262,9.18067836761475,0.000419564399635419,469.00000423193,0.720211497210972,0.3,2.25,1.52,
120,342.544074158784,65.4769551223311,1.38140504278326,-1.48710479176055,11.9532299041748,0.000397110998164862,675.360006093979,1.15224995840533,0.3,2.25,1.52,
140,428.278388423663,85.0791453137421,1.3617891435239,-1.94374292542015,14.4278736114502,0.000375370378606021,919.240008294582,1.57005272096559,0.3,2.25,1.52,
160,504.507325146355,109.916027079352,1.34209373863665,-2.41862271954692,17.1685066223145,0.000351021270034835,8595.91372914556,6.77503916655103,0.3,2.25,1.52,
180,734.098063404295,449.319704918733,0.389382960880427,-5.61614388896958,3.65954065322876,1.17242455482483,2689.80706692994,3.50186200414413,0.3,2.25,1.52,
200,835.674616225726,567.952692572978,0.382669139530309,-5.91101053717774,3.24617123603821,0.898250818252563,2767.24745123908,3.56503803970752,0.3,2.25,1.52,
220,889.505502886701,637.456038282182,0.378104301032742,-6.02539046272558,3.15090155601501,0.810690402984619,2827.98833458017,3.61385200727397,0.3,2.25,1.52,
240,931.776600000016,689.847431971719,0.374393421494123,-6.08242562854472,3.10419058799744,0.75897890329361,2877.65322909224,3.6532993671683,0.3,2.25,1.52,
260,957.077467140263,755.555597198467,0.370907784931403,-6.01221610738133,4.9728102684021,1.11735475063324,2782.4425618951,3.57730929534961,0.3,2.25,1.52,
280,978.085982026229,786.086156444877,0.370361054827801,-6.04349535211405,5.10159730911255,1.12779414653778,2776.58993135119,3.57258760491836,0.3,2.25,1.52,
300,994.668433275088,808.861510906396,0.369891062950238,-6.06027123339105,5.02207660675049,1.0862637758255,2768.5091694306,3.56605851390121,0.3,2.25,1.52,
320,1009.61858428425,828.828044960446,0.369505899494223,-6.07628632170016,4.95999479293823,1.05323994159698,2763.08938804018,3.56167303229012,0.3,2.25,1.52,
340,1022.76491281873,846.090771538951,0.369215851465834,-6.09111081352661,4.90714311599731,1.02574574947357,2762.44348621436,3.56115004893862,0.3,2.25,1.52,
360,1034.30981025789,861.130495331393,0.368925604586186,-6.10150379170625,4.86542367935181,1.00336456298828,2758.03390120869,3.55757766907041,0.3,2.25,1.52,
380,1044.62880522063,874.435956608983,0.36866998680916,-6.1100592701388,4.82708597183228,0.983594298362732,2754.05180315712,3.55434866747329,0.3,2.25,1.52,
400,1054.15286316069,884.274280346244,0.368394480595527,-6.11315821906863,4.79833841323853,0.969229698181152,2746.25023479823,3.54801440601244,0.3,2.25,1.52,
420,1062.54345908384,894.842489795264,0.368193430271442,-6.11959645107569,4.76309680938721,0.953016400337219,2742.95388426817,3.54533478339033,0.3,2.25,1.52,
440,1070.19019939745,904.465077053062,0.368012340130503,-6.12525468476123,4.73474073410034,0.939385056495667,2740.02052367376,3.54294861222608,0.3,2.25,1.52,
460,1077.05803633048,912.948712951548,0.367604617501631,-6.11741592464816,4.70874643325806,0.92793196439743,2709.305992447,3.51787099603203,0.3,2.25,1.52,
480,1081.66423968567,919.560583712761,0.367786923530838,-6.13580047427144,4.6937460899353,0.919254779815674,2739.71372500632,3.54269895529824,0.3,2.25,1.52,
500,1087.32207638099,926.582639928398,0.367633586774261,-6.1387010632677,4.67329883575439,0.909886658191681,2735.25952453854,3.53907246554039,0.3,2.25,1.52,
520,1092.6686414923,933.222046883435,0.367531672392093,-6.14283397788183,4.65684413909912,0.901311874389648,2735.50004579804,3.53926838191843,0.3,2.25,1.52,
540,1097.71570191732,939.439288584508,0.36741679349648,-6.14598341312906,4.63924980163574,0.893145143985748,2733.56930546191,3.53769540745863,0.3,2.25,1.52,
560,1102.45290968999,945.253821153869,0.367309369655116,-6.14884278294391,4.62279176712036,0.885574400424957,2731.71320012895,3.53618260957596,0.3,2.25,1.52,
580,1106.91474628132,950.711261861822,0.367208994366637,-6.15147457013123,4.60734462738037,0.878532230854034,2729.98151828266,3.53477066545585,0.3,2.25,1.52,
600,1111.11698797917,955.837520464005,0.367114990234354,-6.15389013384439,4.59282922744751,0.871973752975464,2728.34209212333,3.53343344765369,0.3,2.25,1.52,
620,1115.09329497957,960.648259004958,0.367045364794139,-6.15750724687305,4.57877206802368,0.866104304790497,2728.47246737208,3.53353980744682,0.3,2.25,1.52,
640,1118.82711573896,965.238232236448,0.366962140986976,-6.15900185294921,4.56907558441162,0.86067920923233,2727.3032438834,3.53258584894964,0.3,2.25,1.52,
660,1122.37997326002,969.558929779256,0.366883323450856,-6.16087762279553,4.55799674987793,0.855526983737946,2725.8702096954,3.53141631503497,0.3,2.25,1.52,
680,1125.75942645077,973.642390682836,0.366809472367152,-6.16266968998231,4.54670476913452,0.850491225719452,2724.57659332801,3.53036024652346,0.3,2.25,1.52,
700,1128.85870132667,978.00816453252,0.366840347610278,-6.14638223779407,4.5467791557312,0.845675885677338,2734.94693355446,3.53881782938519,0.3,2.25,1.52,
720,1132.21324898488,979.704400959243,0.366669057298789,-6.16471282420814,4.52681732177734,0.842552840709686,2722.00557043312,3.52826044921446,0.3,2.25,1.52,
740,1135.12834293238,983.172190320067,0.366606074680345,-6.16617611861061,4.51557016372681,0.837957262992859,2720.856730986,3.52732178819048,0.3,2.25,1.52,
