s,C, C, m, Pa, 1 / m, 1 / m, kW, m, m, m ^ 2, m ^ 2,
Time,ULT_1,LLT_1,HGT_1,PRS_1,ULOD_1,LLOD_1,HRR_1,FLHGT_1,FBASE_1,FAREA_1,HVENT_1,
0,20,20,2.69973,0,0.000458753871498629,0.000458753871498629,1E-06,-2.03014695008155,0.3,2.25,1.52,
20,31.1372697362615,20.1766014749419,2.27344352066251,-0.0431985298291891,0.521359980106354,0.00045847735600546,18.7600001692772,-1.27187411432869,0.3,2.25,1.52,
40,57.6617260566123,21.8905227698555,1.66805852054815,-0.103738581597527,1.64162981510162,0.000455812347354367,75.0400006771088,-0.709223922957336,0.3,2.25,1.52,
60,105.86055943411,26.4912097625803,1.42232374283454,-0.303746097774711,3.58312606811523,0.000448809470981359,168.840001523495,-0.202738121633069,0.3,2.25,1.52,
80,176.854969681794,34.5068484085234,1.38752134491821,-0.598942813529668,6.2733211517334,0.000437109265476465,300.160002708435,0.270406959116673,0.3,2.25,1.52,
100,260.440462937106,46.9063449476453,1.38711736691641,-0.989051374964599,9.20264530181885,0.00042016536463052,469.00000423193,0.720211497210972,0.3,2.25,1.52,
120,341.694704448028,64.7258721731877,1.3799683041466,-1.46827271104845,11.9726982116699,0.000397994212107733,675.360006093979,1.15224995840533,0.3,2.25,1.52,
140,430.834086432934,84.3599243247523,1.3600399418792,-1.92667547108171,14.4028158187866,0.000376125914044678,919.240008294582,1.57005272096559,0.3,2.25,1.52,
160,747.818648632755,120.745118654381,0.729327026554497,9.88107654644774,9.81575870513916,0.000341408653184772,3054.53907369014,3.79056809255205,0.3,2.25,1.52,
180,814.144617599352,596.934041880316,0.352966993742481,-4.47202060507121,30.6660633087158,4.9222354888916,1837.491949228,2.71962224608127,0.3,2.25,1.52,
200,884.916165752096,691.791027268797,0.364929175665001,-5.40960009226615,18.8952522277832,4.43204498291016,2426.45938707644,3.27845964974262,0.3,2.25,1.52,
220,923.411964909694,752.436551115194,0.364700729109606,-5.48545661106674,15.4278411865234,3.38993287086487,2430.41741722679,3.28192231685937,0.3,2.25,1.52,
240,951.720742390407,790.48887712686,0.364132126296241,-5.54204239891941,14.5548725128174,3.05270576477051,2433.89089093959,3.28495828525913,0.3,2.25,1.52,
260,971.432228199658,821.549504794771,0.362213401613104,-5.44735044223845,14.6326160430908,2.81535291671753,2347.25180484277,3.208440302788,0.3,2.25,1.52,
280,986.723693383077,843.795494735646,0.36177458507866,-5.42836164301205,13.3431787490845,2.45305275917053,2325.97437857981,3.18939024467512,0.3,2.25,1.52,
300,1004.69236215826,862.462268551367,0.363360420774529,-5.60281303564492,11.5796966552734,2.20768713951111,2427.2227317467,3.27912772245389,0.3,2.25,1.52,
320,1017.78150742083,878.003357619861,0.363264566646013,-5.6293881984777,11.8350400924683,2.24640464782715,2442.88370482373,3.29280634106945,0.3,2.25,1.52,
340,1028.50901453046,892.212231356959,0.3624482215912,-5.58942242723123,11.4042901992798,2.07839727401733,2397.34209028487,3.25288169701759,0.3,2.25,1.52,
360,1040.54317852845,904.561267643912,0.363395240551624,-5.69612411711298,10.4575786590576,1.95170569419861,2459.4551793492,3.30722303906617,0.3,2.25,1.52,
380,1048.56193238892,916.150414565691,0.362649213927523,-5.65793760193342,10.7973127365112,1.96083343029022,2425.58817548629,3.27769701871948,0.3,2.25,1.52,
400,1057.89840254766,925.545220562548,0.363110418609562,-5.71368086493665,9.98085403442383,1.81837499141693,2457.20558102954,3.30526938035508,0.3,2.25,1.52,
420,1065.09287192593,935.093438071436,0.362873204570887,-5.71491216708378,10.1180553436279,1.8295783996582,2451.01200893542,3.29988503541742,0.3,2.25,1.52,
440,1072.48565951027,942.822990557213,0.363030435477439,-5.74124507801298,9.60743045806885,1.72971093654633,2464.39824267931,3.31151206849468,0.3,2.25,1.52,
460,1077.34643170695,949.94627245312,0.362913062009797,-5.74191726046505,9.58164215087891,1.71979200839996,2458.04021352866,3.30599434028057,0.3,2.25,1.52,
480,1082.50174767708,954.890130082209,0.363085756545729,-5.76936336375951,9.27061939239502,1.66015338897705,2475.2725798628,3.32092945028878,0.3,2.25,1.52,
500,1087.51175398633,961.118654793204,0.362979683985969,-5.77202996585449,9.24280643463135,1.64650297164917,2473.37847930233,3.31929091124386,0.3,2.25,1.52,
520,1092.74903483923,966.550150687248,0.363106361556175,-5.79431354505245,8.97755813598633,1.59888160228729,2484.65789345981,3.32903737178588,0.3,2.25,1.52,
540,1097.27106198321,971.970886493063,0.362998733869784,-5.79457739765062,8.91033267974854,1.57676351070404,2481.82225502158,3.32658961926746,0.3,2.25,1.52,
560,1101.9876423071,975.552668094502,0.363005960396301,-5.8178507142371,8.75232982635498,1.55151343345642,2482.48810121761,3.32716453530071,0.3,2.25,1.52,
580,1106.28053631343,980.442153219578,0.362988371238368,-5.81489335351311,8.60718154907227,1.51764070987701,2487.57011557393,3.33154948812846,0.3,2.25,1.52,
600,1110.17302843599,985.021398281059,0.363007520976908,-5.82446286625479,8.56319046020508,1.50740897655487,2493.66414388722,3.33680056338907,0.3,2.25,1.52,
620,1114.07525191825,988.947527728114,0.363074774863341,-5.83771446962724,8.36827182769775,1.47064065933228,2500.34393486066,3.34254753833148,0.3,2.25,1.52,
640,1117.4085194562,993.097761093071,0.362960938217069,-5.83548972037952,8.37448978424072,1.46442413330078,2496.41031641753,3.33916435656763,0.3,2.25,1.52,
660,1120.98118517305,996.726576291362,0.363061699017765,-5.85152057853412,8.2109899520874,1.43721044063568,2504.94921227005,3.34650433738397,0.3,2.25,1.52,
680,1124.09226573958,1000.20494431345,0.36299296426509,-5.85166939464787,8.14199447631836,1.41813695430756,2503.11284569768,3.34492707691795,0.3,2.25,1.52,
700,1127.14672421224,1003.75066604407,0.363001656777704,-5.85944958123604,8.09675788879395,1.40972340106964,2506.18642053202,3.34756658795243,0.3,2.25,1.52,
720,1130.23211875142,1006.71854295844,0.363071786646469,-5.87145723357422,7.93878793716431,1.38147151470184,2512.42050136074,3.35291430571467,0.3,2.25,1.52,
740,1132.84018595523,1009.94889994518,0.362976255677774,-5.86880390519797,7.94512128829956,1.376788854599,2508.86746536037,3.34986741823229,0.3,2.25,1.52,
