s,C, C, m, Pa, 1 / m, 1 / m, kW, m, m, m ^ 2, m ^ 2,
Time,ULT_1,LLT_1,HGT_1,PRS_1,ULOD_1,LLOD_1,HRR_1,FLHGT_1,FBASE_1,FAREA_1,HVENT_1,
0,20,20,2.69973,0,0.000458753871498629,0.000458753871498629,1E-06,-2.03014695008155,0.3,2.25,1.52,
20,31.1372697357451,20.1766014747438,2.27344352066245,-0.0431985308863961,0.521359980106354,0.00045847735600546,18.7600001692772,-1.27187411432869,0.3,2.25,1.52,
40,57.6617260570297,21.8905227696353,1.66805852054498,-0.103738580491656,1.64162981510162,0.000455812347354367,75.0400006771088,-0.709223922957336,0.3,2.25,1.52,
60,105.860559433559,26.4912097626624,1.42232374283349,-0.303746102789431,3.58312606811523,0.000448809470981359,168.840001523495,-0.202738121633069,0.3,2.25,1.52,
80,176.85496965429,34.506848237786,1.38752131166385,-0.598939831891081,6.2733211517334,0.000437109265476465,300.160002708435,0.270406959116673,0.3,2.25,1.52,
100,260.440463293321,46.9063452774947,1.38711732807265,-0.989050102840351,9.20264625549316,0.00042016536463052,469.00000423193,0.720211497210972,0.3,2.25,1.52,
120,341.69470263294,64.7258733128291,1.37996827887158,-1.46827300335328,11.9727067947388,0.000397994212107733,675.360006093979,1.15224995840533,0.3,2.25,1.52,
140,430.833211387337,84.3598727557866,1.36004095961361,-1.92668176100483,14.4054441452026,0.000376125972252339,919.240008294582,1.57005272096559,0.3,2.25,1.52,
160,747.462353226111,120.729553499209,0.729265723849802,9.8853293399728,9.92579650878906,0.000341422186465934,3054.08827388734,3.79022440532707,0.3,2.25,1.52,
180,816.197878053881,598.538008427723,0.356900647279776,-4.51776465323169,24.987886428833,4.73306560516357,1978.06105890552,2.86178820294713,0.3,2.25,1.52,
200,886.205748581239,690.513229871059,0.366141770679592,-5.50614191702837,18.0816974639893,4.34846496582031,2501.69755259137,3.34371100385042,0.3,2.25,1.52,
220,923.34495599031,752.310128315014,0.364701686873747,-5.48538985676255,15.4077758789063,3.38447976112366,2430.45192644986,3.28195249223355,0.3,2.25,1.52,
240,951.686836024865,790.438952753396,0.364129322914713,-5.541807864458,14.5580968856812,3.05327749252319,2433.72515265514,3.28481348181156,0.3,2.25,1.52,
260,971.409372575332,821.522330944832,0.362210764254237,-5.44706184022695,14.63463306427,2.81550407409668,2347.091865667,3.20829749372287,0.3,2.25,1.52,
280,986.710780614234,843.776898806987,0.361774941210405,-5.4283231010422,13.3437995910645,2.45313835144043,2325.99436122407,3.18940818443953,0.3,2.25,1.52,
300,1004.6823400126,862.44920318759,0.363360833271638,-5.60278704495953,11.5803756713867,2.20783638954163,2427.24543152644,3.27914758717627,0.3,2.25,1.52,
320,1017.77119589813,877.994323745241,0.363263686919498,-5.62922899825303,11.8362598419189,2.24652910232544,2442.84340356521,3.29277120874087,0.3,2.25,1.52,
340,1028.50345033968,892.203581175443,0.362448408296564,-5.58942586871357,11.4042997360229,2.07841801643372,2397.34249157744,3.25288205081198,0.3,2.25,1.52,
360,1040.53859662512,904.553665355947,0.363395427077175,-5.6961471280613,10.4577665328979,1.95177364349365,2459.45938311454,3.30722668881307,0.3,2.25,1.52,
380,1048.55767932931,916.14420344242,0.362649222675042,-5.65792857421764,10.7974481582642,1.96086037158966,2425.5853784784,3.27769457004275,0.3,2.25,1.52,
400,1057.89473521874,925.539957097341,0.363111096108287,-5.71372577599319,9.9809513092041,1.81841230392456,2457.26556072459,3.30532148351115,0.3,2.25,1.52,
420,1065.09004056848,935.088903295749,0.362873210244607,-5.71491430198602,10.1181163787842,1.82960057258606,2451.00744938728,3.29988106859611,0.3,2.25,1.52,
440,1072.4828709722,942.819768008539,0.363030947187148,-5.74126417343482,9.60758686065674,1.72974181175232,2464.44807122032,3.31155527775742,0.3,2.25,1.52,
460,1077.3445439298,949.942887120324,0.362913110615154,-5.74191122101835,9.5814151763916,1.71974384784698,2458.04374522033,3.30599740758623,0.3,2.25,1.52,
480,1082.49980066163,954.886854313688,0.363085487972052,-5.76934608375991,9.27060985565186,1.66016030311584,2475.24133506135,3.32090242729578,0.3,2.25,1.52,
500,1087.50996057537,961.11585907546,0.362979916364407,-5.77203659933748,9.2428150177002,1.64650893211365,2473.39823181537,3.31930800253308,0.3,2.25,1.52,
520,1092.74711830028,966.54812550199,0.363106330417254,-5.7942990027622,8.97763729095459,1.59889125823975,2484.65795083841,3.32903742129872,0.3,2.25,1.52,
540,1097.26939183721,971.969187857866,0.362999281267677,-5.79459878007656,8.9103364944458,1.57675695419312,2481.87783419675,3.32663761190612,0.3,2.25,1.52,
560,1101.98613869592,975.550597352851,0.363006335761574,-5.81787854605478,8.75236129760742,1.55152380466461,2482.52156675817,3.32719342823409,0.3,2.25,1.52,
580,1106.27932010977,980.440056717334,0.362987926720093,-5.81486014923003,8.60714721679688,1.51764261722565,2487.52416745195,3.33150986645385,0.3,2.25,1.52,
600,1110.17188823812,985.019437568718,0.363007587334763,-5.82446731625263,8.5631628036499,1.50740444660187,2493.66968596333,3.33680533535434,0.3,2.25,1.52,
620,1114.07427053029,988.946074622833,0.363074736629618,-5.8377123162777,8.36829280853271,1.4706484079361,2500.33810864309,3.34254252974698,0.3,2.25,1.52,
640,1117.40753721938,993.096448882768,0.362961099591174,-5.83549967134825,8.3745288848877,1.46443116664886,2496.42551606262,3.33917743545881,0.3,2.25,1.52,
660,1120.98025315177,996.725106924796,0.363061975625445,-5.8515434491274,8.21101665496826,1.43722093105316,2504.97443132474,3.34652599327166,0.3,2.25,1.52,
680,1124.09164767556,1000.20319805767,0.362993075639012,-5.8516855224721,8.14194107055664,1.41813600063324,2503.11823624925,3.34493170789385,0.3,2.25,1.52,
700,1127.14615343491,1003.74996169638,0.363001612590207,-5.85944933315274,8.09679126739502,1.40973246097565,2506.18051476497,3.3475615180868,0.3,2.25,1.52,
720,1130.23139411109,1006.71757439151,0.363071711657797,-5.87144737962233,7.93876981735229,1.3814697265625,2512.41158608688,3.35290666370457,0.3,2.25,1.52,
740,1132.83926567831,1009.94829136059,0.362976004512786,-5.86877755676195,7.94519090652466,1.37679195404053,2508.8464752238,3.3498494105601,0.3,2.25,1.52,
