s,C, C, m, Pa, 1 / m, 1 / m, kW, m, m, m ^ 2, m ^ 2,
Time,ULT_1,LLT_1,HGT_1,PRS_1,ULOD_1,LLOD_1,HRR_1,FLHGT_1,FBASE_1,FAREA_1,HVENT_1,
0,20,20,2.69973,0,0.000458753871498629,0.000458753871498629,1E-06,-2.03014695008155,0.3,2.25,1.52,
20,35.9274038973101,20.1012570991986,2.26743273558755,-0.0388195393532339,0.514146983623505,0.00045859522651881,18.7600001692772,-1.27187411432869,0.3,2.25,1.52,
40,72.5175755665937,21.3296176966889,1.64502850826797,-0.0815010609190836,1.59034287929535,0.000456681096693501,75.0400006771088,-0.709223922957336,0.3,2.25,1.52,
60,138.9926308542,24.8642984628048,1.41221945292047,-0.249593602118539,3.41299033164978,0.000451261061243713,168.840001523495,-0.202738121633069,0.3,2.25,1.52,
80,230.912697274076,31.4832233846805,1.38935938004487,-0.508341687732831,5.8951563835144,0.0004414503055159,300.160002708435,0.270406959116673,0.3,2.25,1.52,
100,315.899616023893,41.7032363051272,1.38919795299561,-0.841846622890905,8.69663047790527,0.000427112769102678,469.00000423193,0.720211497210972,0.3,2.25,1.52,
120,390.211612712513,55.5815893762653,1.3751759608881,-1.2400086635535,11.4370584487915,0.000409071129979566,675.360006093979,1.15224995840533,0.3,2.25,1.52,
140,471.158389304503,72.5413193146545,1.35013958906151,-1.65592017179618,13.9695091247559,0.000388991640647873,919.240008294582,1.57005272096559,0.3,2.25,1.52,
160,783.939820621546,412.384764193605,0.398047401680426,-4.90965359273204,5.75799083709717,0.861901223659515,3041.07922258647,3.78029323553392,0.3,2.25,1.52,
180,835.149044710035,637.480338530592,0.356702402587659,-4.5845647576149,24.7451343536377,4.5753755569458,1966.31392305843,2.85014448863619,0.3,2.25,1.52,
200,895.350107539631,711.982100287708,0.363794815413875,-5.36959477710054,19.3784942626953,4.32548666000366,2386.02912037373,3.24289360762692,0.3,2.25,1.52,
220,931.484059382952,763.929141583556,0.364482441305012,-5.52139806223101,16.0558662414551,3.49801349639893,2440.08470595513,3.29036550704889,0.3,2.25,1.52,
240,956.411862902856,799.142687074136,0.363088758148464,-5.48921859074666,15.3633089065552,3.11298727989197,2386.60242507435,3.24340045431169,0.3,2.25,1.52,
260,974.947671272857,828.986418823542,0.361242466396649,-5.36912396326891,14.8315143585205,2.74396347999573,2294.42366074974,3.16094886229429,0.3,2.25,1.52,
280,991.360569649163,849.192736298573,0.362118294893222,-5.45858148642556,12.7840385437012,2.36259746551514,2345.24955976393,3.2066520848214,0.3,2.25,1.52,
300,1008.39622848949,866.956224859507,0.363514151432252,-5.62766784572948,11.5713396072388,2.22231149673462,2439.65074983569,3.2899869303312,0.3,2.25,1.52,
320,1019.89972605005,881.887575150697,0.362560923853038,-5.58636489644202,12.1023797988892,2.25267004966736,2399.63921159202,3.25490634246709,0.3,2.25,1.52,
340,1031.44208759458,895.191096342671,0.36258697429359,-5.6051184062865,11.1294431686401,2.02982211112976,2406.36689810835,3.2608293344237,0.3,2.25,1.52,
360,1042.74193536201,907.45852787899,0.363301888719392,-5.6986692898179,10.6304597854614,1.9836699962616,2457.42560935929,3.30546051081005,0.3,2.25,1.52,
380,1050.56703582698,918.535506022753,0.362532610683804,-5.65058982935228,10.7347631454468,1.93682110309601,2419.86136340588,3.27267985312518,0.3,2.25,1.52,
400,1059.9599408647,927.777586431661,0.363165022544813,-5.72336722817449,9.94988918304443,1.81723153591156,2462.08514734084,3.30950567003392,0.3,2.25,1.52,
420,1066.66759600221,937.068620772664,0.362711948789729,-5.70375292824507,10.1481742858887,1.82321965694427,2442.73829882136,3.29267958280978,0.3,2.25,1.52,
440,1074.22769381888,944.580753029723,0.363059529666996,-5.74780656538138,9.57544040679932,1.7260160446167,2467.51696211263,3.31421548415088,0.3,2.25,1.52,
460,1078.32014118563,950.550965126953,0.362886909097683,-5.74548115199684,9.63045978546143,1.72400569915771,2461.07145480732,3.30862602812723,0.3,2.25,1.52,
480,1083.87086923173,956.254727736436,0.36308003426515,-5.77206498697245,9.26960277557373,1.66043961048126,2476.1199502501,3.32166224566705,0.3,2.25,1.52,
500,1088.78730745365,962.318473168112,0.362932101818153,-5.77112792791814,9.24247264862061,1.64336311817169,2471.72618795608,3.31786094036208,0.3,2.25,1.52,
520,1093.95988534437,967.792988788614,0.36306375021734,-5.79345025476853,9.00309085845947,1.60212671756744,2483.23046976131,3.32780541446486,0.3,2.25,1.52,
540,1098.49832644362,972.970468063163,0.362988697770488,-5.79657913378185,8.88842010498047,1.57196843624115,2482.26735341399,3.32697394380191,0.3,2.25,1.52,
560,1102.85721543449,978.644093961086,0.363074608894952,-5.79257407394126,8.79692935943604,1.55189657211304,2496.11484783836,3.33891010420488,0.3,2.25,1.52,
580,1107.40598464936,981.278813215045,0.363026060537934,-5.81897339923765,8.59111022949219,1.51471173763275,2492.38831650431,3.33570185189339,0.3,2.25,1.52,
600,1111.11639547392,985.939372194037,0.362889514733622,-5.8162351579284,8.58436870574951,1.50651824474335,2485.95456940816,3.3301561174584,0.3,2.25,1.52,
620,1115.07748725277,989.771465559955,0.363051236690961,-5.83759231930515,8.37567806243896,1.47142934799194,2499.75789741224,3.34204370846181,0.3,2.25,1.52,
640,1118.40170762327,993.740439003947,0.362941207207353,-5.83517001873262,8.34906387329102,1.45837652683258,2495.85674718435,3.33868799237357,0.3,2.25,1.52,
660,1121.86854759556,997.472398737852,0.363014160271633,-5.84910218853387,8.23643779754639,1.44014692306519,2502.88582156962,3.34473203703408,0.3,2.25,1.52,
680,1125.07911603423,1000.76472791672,0.363011412360058,-5.85459023801171,8.10560417175293,1.41251909732819,2504.83191400326,3.34640361031548,0.3,2.25,1.52,
700,1127.98858205927,1004.34794842331,0.362957345717977,-5.85697483513636,8.10847473144531,1.40992522239685,2504.20384708453,3.34586422478519,0.3,2.25,1.52,
720,1131.05914198062,1007.29979840673,0.363041199010467,-5.87025244409637,7.95302867889404,1.38322877883911,2511.28336318073,3.35193944026789,0.3,2.25,1.52,
740,1133.68828993837,1010.37673256756,0.362961034472812,-5.86871201509167,7.9288182258606,1.37310802936554,2508.5166337142,3.34956642397957,0.3,2.25,1.52,
