s,C, C, m, Pa, 1 / m, 1 / m, kW, m, m, m ^ 2, m ^ 2,
Time,ULT_1,LLT_1,HGT_1,PRS_1,ULOD_1,LLOD_1,HRR_1,FLHGT_1,FBASE_1,FAREA_1,HVENT_1,
0,24,24,2.39976,0,0.000452247564680874,0.000452247564680874,0,-0.406216516528063,0.3,0.09,1.6,
10,23.8204467840437,22.8725937015752,2.39976000489202,-0.320064944365649,0.000452519714599475,0.000453969434602186,0,-0.406216516528063,0.3,0.09,1.6,
20,23.7646087551689,21.9780931544556,2.39976000432909,-0.284288910798723,0.000452605047030374,0.000455346220405772,0,-0.406216516528063,0.3,0.09,1.6,
30,23.7148746419491,21.2653096380599,2.39976000389699,-0.255658747376525,0.000452681037131697,0.000456449284683913,0,-0.406216516528063,0.3,0.09,1.6,
40,23.6690731539166,20.692518360841,2.39976000366813,-0.232575537786072,0.000452751031843945,0.000457339629065245,0,-0.406216516528063,0.3,0.09,1.6,
50,23.6247364929066,20.2284986967654,2.3997600036298,-0.213827379347354,0.000452818814665079,0.000458063412224874,0,-0.406216516528063,0.3,0.09,1.6,
60,23.5799059577066,19.8497149483221,2.39976000372464,-0.198491889377631,0.000452887295978144,0.000458655966212973,0,-0.406216516528063,0.3,0.09,1.6,
70,23.5333653513104,19.5382439443486,2.3997600038936,-0.185861343919423,0.000452958454843611,0.000459144357591867,0,-0.406216516528063,0.3,0.09,1.6,
80,23.4845238482218,19.2803014522165,2.39976000409285,-0.17538815964562,0.000453033106168732,0.000459549570223317,0,-0.406216516528063,0.3,0.09,1.6,
90,23.4332142522089,19.06519046845,2.39976000429472,-0.166645317958714,0.000453111570095643,0.000459888105979189,0,-0.406216516528063,0.3,0.09,1.6,
100,23.3795214055561,18.8845421303717,2.39976000448362,-0.159297412948394,0.000453193672001362,0.000460172770544887,0,-0.406216516528063,0.3,0.09,1.6,
110,23.3236634301124,18.731761164264,2.39976000465187,-0.153079259851033,0.000453279091743752,0.000460413779364899,0,-0.406216516528063,0.3,0.09,1.6,
120,23.2659173249662,18.6016160462631,2.39976000479655,-0.147779949925871,0.00045336753828451,0.000460619281511754,0,-0.406216516528063,0.3,0.09,1.6,
130,23.206575312939,18.4899328115023,2.39976000491749,-0.143230838976215,0.000453458342235535,0.000460795796243474,0,-0.406216516528063,0.3,0.09,1.6,
140,23.1459207678695,18.3933639695499,2.39976000501596,-0.139296428808683,0.000453551212558523,0.000460948533145711,0,-0.406216516528063,0.3,0.09,1.6,
150,23.0842160404349,18.3092124470322,2.39976000509394,-0.135867383867837,0.000453645770903677,0.000461081712273881,0,-0.406216516528063,0.3,0.09,1.6,
160,23.0216972648882,18.2352962708817,2.39976000515362,-0.132855136508607,0.00045374158071354,0.000461198738776147,0,-0.406216516528063,0.3,0.09,1.6,
170,22.958573119431,18.169843718135,2.39976000519723,-0.130187696147171,0.000453838350949809,0.000461302435724065,0,-0.406216516528063,0.3,0.09,1.6,
180,22.8950257263498,18.1114114658861,2.39976000522688,-0.127806362577132,0.000453935848781839,0.000461395073216408,0,-0.406216516528063,0.3,0.09,1.6,
190,22.8312126183401,18.0588202613025,2.39976000524448,-0.125663140129219,0.000454033783171326,0.000461478426586837,0,-0.406216516528063,0.3,0.09,1.6,
200,22.767269152104,18.0111040495264,2.39976000525175,-0.123718683832884,0.000454131979495287,0.000461554096546024,0,-0.406216516528063,0.3,0.09,1.6,
210,22.7033110221109,17.9674695205152,2.3997600052502,-0.121940667174064,0.000454230204923078,0.000461623334558681,0,-0.406216516528063,0.3,0.09,1.6,
220,22.6394366861699,17.927263780279,2.39976000524115,-0.120302473549531,0.000454328313935548,0.000461687130155042,0,-0.406216516528063,0.3,0.09,1.6,
