"BRANZ Mat 1, 9.5 mm paper-faced gypsum plasterboard"
"Number of HRR Curves", 1
"Heat Flux",35
"Number of HRR Data Pairs",92
"sec,kw/m2"
0,30
1.310525726,45.20769
3.185525726,58.22592
5.060525726,66.43395
6.935525726,65.26
8.810525726,59.85867
10.68552573,47.53764
12.56052573,33.88454
14.43552573,30.42985
16.31052573,23.4947
18.18552573,24.15553
20.06052573,24.31836
21.93552573,26.05924
23.81052573,27.33243
25.68552573,26.72934
27.56052573,25.02158
29.43552573,23.57677
31.31052573,21.83738
33.18552573,21.38189
35.06052573,20.15351
36.93552573,19.06277
38.81052573,17.41967
40.68552573,16.36288
42.56052573,14.44258
44.43552573,13.38059
46.31052573,12.58274
48.18552573,10.73356
50.06052573,10.62576
51.93552573,9.57695
53.81052573,8.824155
55.68552573,8.801528
57.56052573,8.464401
59.43552573,7.668538
61.31052573,6.954562
63.18552573,6.964038
65.06052573,5.85151
66.93552573,5.849188
68.81052573,5.828326
70.68552573,4.70706
72.56052573,5.091455
74.43552573,3.984849
76.31052573,3.942192
78.18552573,3.98615
80.06052573,3.182192
81.93552573,3.963075
83.81052573,3.215276
85.68552573,3.161777
87.56052573,3.945242
89.43552573,3.237438
91.31052573,3.23315
93.18552573,2.848448
95.06052573,3.229671
96.93552573,3.212023
98.81052573,2.82381
100.6855257,3.230264
102.5605257,2.842168
104.4355257,3.195565
106.3105257,2.827968
108.1855257,2.838138
110.0605257,2.84082
111.9355257,2.079978
113.8105257,2.832964
115.6855257,2.860217
115.6855257,2.860217
117.5605257,2.836282
119.4355257,2.82829
121.3105257,2.094806
123.1855257,2.105612
125.0605257,2.834823
126.9355257,2.843624
128.8105257,2.82652
130.6855257,2.084857
132.5605257,2.858274
134.4355257,2.827565
136.3105257,2.870995
138.1855257,2.834428
140.0605257,2.822791
141.9355257,2.077773
143.8105257,2.098157
145.6855257,2.856438
147.5605257,2.0927
149.4355257,2.100661
151.3105257,2.099065
153.1855257,2.084183
155.0605257,2.094359
156.9355257,2.095957
158.8105257,2.084104
160.6855257,2.117829
162.5605257,2.828003
164.4355257,2.097634
166.3105257,0
1200,0
"Ignition Data"
"Number of Pairs",3
"kw/m2,sec,kw/m2 " 
75,15.9,97.7
50,47.2,85.6
35,126.9,67
