"Material Description"
"Number of HRR Curves","03"
"Heat Flux",25
"Number of HRR Data Pairs",213
"sec,kw/m2"
0.0,30
1.3,67
3.3,116.9
5.3,148.2
7.8,172.5
9.8,196.9
11.8,212.3
14.2,218.1
16.2,228.9
18.7,235.6
20.7,242
22.7,262.5
24.7,257.8
26.7,253.6
29.2,241.8
31.1,232.5
33.1,223.3
35.1,217.5
37.4,207.5
40.0,197.9
42.0,186.6
44.0,173.7
46.0,166
47.9,163.1
50.4,158.9
52.5,155.3
54.5,151.8
56.4,149.8
58.8,149.6
61.4,151.7
63.4,150.9
65.4,152.2
67.4,153.4
69.4,159.9
71.9,161.6
73.9,163.1
75.9,164.6
77.9,160.3
79.8,158.6
82.7,157.3
84.7,155.1
89.3,150.8
91.9,147.9
93.9,145.2
95.9,142.4
97.9,135.6
99.9,130
102.5,128.6
104.5,127.8
106.5,126.9
108.7,126
110.7,124.1
115.4,122.8
118.4,123.4
120.4,122.2
122.9,119.6
124.9,117.9
126.9,117.6
128.9,118.6
130.9,117.2
136.5,116.1
138.5,114.8
140.5,112.7
143.0,112.3
145.0,114.5
147.0,112.6
149.0,113.1
151.0,113.4
153.5,114.2
155.5,112.6
157.5,110.1
159.8,109.2
161.8,107.2
164.3,106.3
166.3,104.8
168.3,103.4
170.3,104
172.3,103.2
174.8,101.5
176.8,103.2
178.8,102.9
180.8,100.5
183.0,100.5
185.5,101.1
187.5,102.4
189.5,100.6
191.5,101.6
193.5,102.9
196.0,103.5
198.0,104.3
200.0,104.6
201.9,103.1
205.5,105.3
208.0,107.2
210.0,105.9
212.0,106
214.0,108.2
216.0,108.4
218.5,107.6
220.5,107.4
222.5,106.5
224.5,105.8
226.5,104.3
229.4,105.2
231.4,105.2
233.4,104.8
235.4,103.4
237.4,102.9
239.9,103.3
241.9,101.9
243.9,103.2
245.9,105.1
247.9,106.9
250.4,106.6
252.7,105.6
254.7,109.9
256.7,108.8
258.7,110
261.3,111.6
263.3,111.8
267.5,114.5
271.5,118
275.5,117.9
277.5,120.2
279.8,123.7
281.8,124.8
284.4,127.6
286.4,129.3
288.4,130.5
290.4,131
292.4,135
294.9,143.4
296.9,144.1
299.0,143.2
301.0,144.5
303.3,144.7
305.8,147.6
307.8,153.4
310.5,154.4
312.5,152.9
315.0,155.9
317.1,160.7
319.1,162.4
321.5,165.1
323.6,164.1
326.1,167.9
328.4,170.8
330.4,169.5
332.4,173.9
334.4,178.1
336.9,180.1
338.9,181.4
340.9,183.5
342.9,188.7
344.9,191.7
347.3,195.8
349.6,197.1
351.6,201.2
353.6,208.6
355.6,209
358.2,213.2
360.2,218.8
362.2,223.8
364.1,229.3
366.2,232.4
368.7,231.4
370.7,234
373.0,235.3
375.0,233.7
377.0,234.3
381.5,245
383.5,244.7
385.5,241.6
387.5,241.9
389.9,243.1
391.9,245.9
393.9,249.6
397.5,246.8
400.3,246.4
402.3,245.7
404.3,244.9
406.3,237.7
408.4,235
410.8,228.1
412.8,226.9
414.8,218.6
416.8,218.1
418.8,215.5
421.6,212.9
423.6,207.8
425.6,198.3
427.6,192.8
429.6,185.7
432.1,183.9
434.1,180.6
436.1,169.8
438.1,163.2
440.1,158
442.5,155.5
444.8,142.4
446.8,136.1
448.8,134.4
450.8,130
453.3,122.6
455.3,117.7
457.3,110.2
461.4,102.9
463.9,96.4
465.9,91.6
467.9,85.5
470.2,82.5
472.3,78.9
480,0
"Heat Flux",35
"Number of HRR Data Pairs",232
"sec,kw/m2"
0.0,30
2.1,74.8
4.1,114.9
6.1,158.3
8.1,174.4
10.1,179.7
12.5,183.7
14.7,184.3
16.7,181.5
18.7,180.2
20.7,178.6
23.1,181
25.1,186.3
27.1,189.1
29.1,191.6
31.1,190.8
33.4,197.5
