"Material Description"
"Number of HRR Curves","02"
"Heat Flux",35
"Number of HRR Data Pairs",40
"sec,kw/m2"
0,30
3.9,78.3
8.9,102.6
13.9,85.5
18.9,52.2
23.9,28.3
28.9,23.2
33.9,22.4
38.9,21.7
43.9,20
48.9,17.1
53.9,14.4
58.9,11.7
63.9,9.3
68.9,7.2
73.9,5.5
78.9,3.5
83.9,2.3
88.9,1.5
93.9,1
98.9,.8
103.9,.5
108.9,.6
113.9,.4
118.9,.6
123.9,.7
128.9,.3
133.9,.6
138.9,.6
143.9,.8
148.9,.6
153.9,.6
158.9,1
163.9,.9
168.9,1.1
173.9,1.4
178.9,1.8
183.9,1.9
188.9,1.8
193.9,1.7
"Heat Flux",50
"Number of HRR Data Pairs",43
"sec,kw/m2"
0,30
3.5,72.3
8.5,109.6
13.5,107.7
18.5,82.9
23.5,51.9
28.5,33.2
33.5,28.3
38.5,26.8
43.5,24.8
48.5,21.7
53.5,18.6
58.5,16.1
63.5,13.7
68.5,11.1
73.5,9.6
78.5,7.9
83.5,6.9
88.5,5.1
93.5,5
98.5,4.1
103.5,3.3
108.5,3.7
113.5,3.1
118.5,2.6
123.5,3.2
128.5,2.1
133.5,2.7
138.5,2.2
143.5,2.4
148.5,2.4
153.5,2.2
158.5,2.2
163.5,2.5
168.5,1.8
173.5,3.1
178.5,1.9
183.5,1.8
188.5,2.5
193.5,2.6
198.5,2.6
203.5,3
208.5,2.7
"Ignition Data"
"Number of Pairs",8
"flux kw/m2,ignition time sec, peak hrr kw/m2"
35,111.1,102.6
35,105.9,102.5
50,46.5,109.6
50,46.7,105.8
50,47,105.3
60,11.6,308.5
60,7.9,344
60,10.7,336.8
"Flame Spread Parameter",0
"Min Surface Temp For Spread",0
"Effective Heat of Combustion",0
