"BRANZ Mat 3, 13 mm michelo angelo ceiling panel (FR)"
"Number of HRR Curves", 1
"Heat Flux",35
"Number of HRR Data Pairs",804
"sec,kw/m2"
0.00,30.00
0.65,32.58
2.53,36.25
4.25,39.11
6.28,41.49
8.15,42.50
10.03,44.40
11.90,46.31
13.78,46.97
16.43,47.97
19.40,47.16
21.28,47.61
23.00,47.82
25.03,47.92
26.90,48.26
28.78,46.80
30.65,47.34
32.37,46.47
34.40,45.01
36.28,44.28
38.15,44.22
40.03,43.26
41.90,42.58
43.62,41.18
46.67,40.43
49.40,40.15
52.53,39.92
53.15,39.48
55.03,39.64
56.90,43.08
58.62,42.24
60.65,42.00
62.53,41.72
64.40,41.53
66.28,41.34
68.15,40.67
70.03,40.41
71.90,39.68
73.78,39.92
76.43,38.79
79.25,38.46
81.28,38.36
83.15,38.41
85.03,37.14
86.90,36.53
88.78,36.82
90.50,36.50
92.53,37.53
94.40,36.70
96.28,36.76
98.15,36.05
99.87,35.90
101.90,35.55
103.78,35.49
106.67,35.40
109.40,34.65
111.28,34.32
113.15,33.95
114.87,34.17
116.90,33.46
118.78,33.47
120.65,32.76
122.53,32.56
124.25,31.97
126.28,31.84
128.15,31.93
130.03,32.09
131.90,32.19
133.62,32.28
136.63,32.17
139.40,32.28
141.12,31.93
143.15,32.00
145.03,31.78
146.90,31.16
148.78,31.27
150.65,31.17
152.53,29.89
154.25,30.14
156.28,30.23
158.15,30.28
160.03,29.79
161.90,29.86
163.62,29.33
166.67,29.14
169.40,28.91
171.28,28.98
173.15,29.19
175.03,29.39
176.90,29.37
178.62,29.85
180.65,29.28
182.53,29.18
184.40,29.21
186.28,29.15
188.00,29.22
190.34,29.04
191.90,28.88
193.78,28.55
196.67,28.82
199.40,28.28
202.53,28.43
203.46,27.62
205.03,27.30
206.90,27.46
208.78,27.39
210.96,28.01
212.53,28.41
214.40,28.04
216.28,27.69
218.15,27.48
220.03,27.55
222.21,27.35
223.78,27.32
226.67,27.22
229.40,27.29
231.28,27.29
233.46,26.25
235.03,26.77
236.90,26.41
239.09,26.87
240.65,27.05
242.53,27.39
244.40,27.65
246.28,27.35
248.15,27.64
251.28,27.55
252.21,27.51
253.78,27.26
256.90,27.43
259.40,27.44
261.28,26.98
263.15,27.12
265.34,27.18
266.90,27.38
268.78,27.74
270.65,28.60
272.53,28.79
274.40,28.94
276.59,28.81
278.15,28.81
280.03,28.77
281.90,28.89
283.78,28.80
286.63,29.09
289.40,29.54
291.28,29.54
293.15,29.06
295.03,29.36
296.90,29.91
