"FR Polycarbonate panel, 3 layers, 16mm, 175kg/m3"
"Number of HRR Curves","02"
"Heat Flux",50
"Number of HRR Data Pairs",232
"sec,kw/m2"
0,18.20
5,96.40
10,202.30
15,283.20
20,331.90
25,375.80
30,394.50
35,376.50
40,355.70
45,363.00
50,375.10
55,418.30
60,474.40
65,523.50
70,516.70
75,467.30
80,417.30
85,391.50
90,370.50
95,355.70
100,346.80
105,323.30
110,276.80
115,228.20
120,184.90
125,157.00
130,142.40
135,131.10
140,119.30
145,109.40
150,102.50
155,98.30
160,97.30
165,95.50
170,94.00
175,93.30
180,90.70
185,88.00
190,87.80
195,85.80
200,83.10
205,82.20
210,82.90
215,81.70
220,80.60
225,80.00
230,77.20
235,74.40
240,72.80
245,71.00
250,69.90
255,68.00
260,66.00
265,63.40
270,62.60
275,63.30
280,62.60
285,59.60
290,59.50
295,58.30
300,56.80
305,56.40
310,56.00
315,55.60
320,55.00
325,54.30
330,53.70
335,53.40
340,52.80
345,51.30
350,51.00
355,50.80
360,50.20
365,50.10
370,49.00
375,48.90
380,49.00
385,49.10
390,48.80
395,47.20
400,46.70
405,46.00
410,45.30
415,45.00
420,44.80
425,44.40
430,43.60
435,43.50
440,43.60
445,43.50
450,42.70
455,42.70
460,42.10
465,41.70
470,41.10
475,40.60
480,40.70
485,40.10
490,39.60
495,39.30
500,38.50
505,38.60
510,38.60
515,38.10
520,39.30
525,38.20
530,36.40
535,36.50
540,36.40
545,36.00
550,35.80
555,35.00
560,34.90
565,34.70
570,34.60
575,33.30
580,33.30
585,33.30
590,32.50
595,32.00
600,31.80
605,31.80
610,31.00
615,30.00
620,29.10
625,28.00
630,26.50
635,25.80
640,25.90
645,25.10
650,24.20
655,23.80
660,23.10
665,22.60
670,22.50
675,21.80
680,21.40
685,21.00
690,20.60
695,20.20
700,19.80
705,19.70
710,19.60
715,20.20
720,19.50
725,18.90
730,18.60
735,18.00
740,18.20
745,17.70
750,17.10
755,17.20
760,16.50
765,16.30
770,16.20
775,16.10
780,15.90
785,15.90
790,15.40
795,15.30
800,15.10
805,14.90
810,14.70
815,14.60
820,14.80
825,14.40
830,13.80
835,13.80
840,13.60
845,13.40
850,13.10
855,13.00
860,12.70
865,12.50
870,12.40
875,11.90
880,12.40
885,12.00
890,12.00
895,12.20
900,12.00
905,11.30
910,10.90
915,10.80
920,10.50
925,10.60
930,10.60
935,10.10
940, 9.90
945,10.00
950, 9.70
955,8.90
960,8.90
965,9.00
970,8.60
975,8.20
980,8.00
985,8.40
990,8.10
995,8.00
1000,7.80
1005,7.90
1010,7.50
1015,7.10
1020,6.80
1025,6.80
1030,6.90
1035,6.40
1040,6.10
1045,5.90
1050,6.00
1055,5.80
1060,5.70
1065,5.80
1070,5.70
1075,5.30
1080,5.50
1085,5.20
1090,5.00
1095,4.90
1100,4.80
1105,4.60
1110,4.40
1115,4.80
1120,4.60
1125,4.30
1130,3.90
1135,3.70
1140,4.40
1145,4.50
1150,3.70
1155,3.50
"Heat Flux",40
"Number of HRR Data Pairs",239
"sec,kw/m2"
0,64.70
5,160.80
10,248.50
15,298.60
20,348.60
25,379.70
30,398.30
35,406.70
40,413.00
45,440.80
50,474.20
55,470.20
60,434.80
65,377.20
70,322.60
75,294.60
80,274.80
85,250.80
90,210.60
95,165.90
100,125.10
105,98.30
110,84.00
115,76.50
120,73.10
125,70.60
130,67.50
135,63.20
140,59.30
145,56.20
150,54.40
155,53.20
160,51.20
