"Material Description"
"Number of HRR Curves","02"
"Heat Flux",50
"Number of HRR Data Pairs",246
"sec,kw/m2"
0,97.20
5,166.10
10,164.80
15,145.60
20,128.80
25,120.00
30,116.40
35,115.50
40,113.40
45,111.20
50,108.70
55,104.90
60,98.90
65,93.90
70,91.10
75,87.80
80,85.10
85,83.10
90,82.10
95,80.60
100,80.40
105,80.50
110,79.70
115,80.40
120,80.70
125,83.40
130,86.40
135,87.90
140,88.50
145,91.40
150,95.60
155,98.40
160, 99.90
165,102.40
170,105.80
175,109.10
180,112.80
185,117.40
190,121.90
195,127.90
200,132.80
205,138.00
210,143.00
215,147.20
220,149.90
225,153.60
230,153.80
235,155.70
240,156.40
245,155.40
250,153.10
255,149.10
260,144.60
265,141.40
270,135.50
275,128.00
280,119.40
285,108.30
290,96.10
295,86.60
300,78.80
305,71.00
310,65.10
315,60.40
320,55.90
325,54.10
330,52.30
335,50.80
340,50.70
345,49.60
350,48.30
355,48.40
360,48.00
365,47.50
370,47.00
375,45.80
380,45.00
385,44.50
390,43.90
395,42.90
400,42.10
405,41.90
410,41.00
415,40.10
420,40.00
425,38.90
430,38.90
435,38.40
440,38.00
445,37.80
450,37.30
455,36.40
460,36.40
465,35.80
470,34.80
475,34.70
480,34.70
485,33.90
490,33.40
495,33.90
500,33.60
505,33.50
510,33.10
515,32.20
520,32.00
525,32.50
530,32.30
535,31.70
540,31.60
545,31.10
550,30.60
555,30.50
560,30.20
565,30.20
570,30.10
575,30.10
580,29.40
585,29.30
590,29.10
595,29.00
600,28.70
605,28.20
610,28.10
615,28.00
620,28.10
625,28.50
630,27.90
635,27.70
640,27.80
645,27.10
650,26.40
655,26.40
660,26.40
665,26.40
670,27.30
675,26.60
680,25.60
685,25.00
690,25.40
695,25.30
700,24.40
705,24.60
710,24.40
715,24.30
720,24.40
725,24.10
730,23.70
735,23.30
740,22.50
745,22.90
750,23.20
755,22.20
760,22.40
765,22.40
770,22.00
775,21.50
780,21.20
785,21.10
790,21.20
795,21.10
800,20.70
805,20.50
810,20.10
815,19.90
820,19.90
825,19.80
830,19.40
835,18.90
840,18.80
845,18.70
850,19.10
855,18.40
860,18.10
865,18.00
870,18.20
875,18.20
880,17.20
885,16.70
890,17.20
895,16.60
900,16.10
905,15.90
910,15.60
915,15.20
920,15.00
925,14.70
930,14.40
935,13.80
940,13.90
945,13.90
950,12.60
955,12.20
960,11.10
965, 9.90
970, 9.80
975, 9.50
980,9.10
985,8.80
990,8.70
995,8.40
1000,8.80
1005,7.80
1010,7.90
1015,7.40
1020,6.90
1025,6.80
1030,6.50
1035,7.00
1040,6.50
1045,6.20
1050,6.00
1055,5.40
1060,5.40
1065,4.90
1070,4.90
1075,4.70
1080,4.60
1085,4.10
1090,3.90
1095,3.70
1100,3.70
1105,4.00
1110,3.50
1115,2.90
1120,3.10
1125,2.80
1130,2.30
1135,2.20
1140,2.50
1145,2.10
1150,1.50
1155,1.40
1160,1.30
1165,1.60
1170,0.90
1175,0.70
1180,0.70
1185,0.60
1190,0.40
1195,0.60
1200,0.60
1205,0.50
1210,0.60
1215,0.00
1220,0.00
1225,0.00
"Heat Flux",40
"Number of HRR Data Pairs",246
"sec,kw/m2"
0,89.10
5,166.60
10,169.00
15,150.00
20,132.40
25,120.50
30,114.60
35,108.70
40,105.60
45,100.70
50,95.90
55,92.30
60,88.70
65,84.80
70,81.90
75,80.10
80,78.10
85,77.70
90,75.80
95,75.90
100,75.50
105,74.60
110,74.20
115,73.60
120,75.20
125,77.30
130,78.50
135,76.60
140,77.80
145,77.50
150,78.50
155,79.80
160,81.00
165,82.10
170,85.40
175,87.90
180,90.60
185,93.00
190,95.20
195, 99.50
200,104.50
205,108.90
210,113.10
215,116.10
220,119.40
225,123.50
230,128.30
235,133.40
240,137.60
245,142.40
250,144.70
255,149.80
260,155.50
265,159.80
270,157.20
275,155.80
280,153.30
285,151.70
290,148.70
295,137.00
300,125.50
305,117.30
310,108.60
315,100.30
320,92.60
325,86.80
330,79.10
335,72.20
340,66.80
345,62.20
350,58.90
355,55.80
360,53.50
