"Material Description"
"Number of HRR Curves","02"
"Heat Flux",50
"Number of HRR Data Pairs",86
"sec,kw/m2"
0,30
.4,32.5
2.4,49.1
4.4,64
6.4,74.4
8.9,84.9
10.9,92.6
12.9,101.8
14.9,104.6
16.9,105.9
19.7,106.3
21.8,104.5
23.8,102.9
25.9,101.7
27.9,98.9
30.4,96.5
32.4,93.6
34.4,86.4
36.4,81.8
38.4,78.3
41,74.1
43.4,69.2
45.4,62.9
47.4,59.3
49.4,53.9
52,51.7
54,47.5
56,44.4
58,42.6
60,40.7
62.6,40.9
64.7,38.5
67,37.7
69,36
71,34.2
73.5,33.7
75.5,32.5
77.6,32.7
79.6,32.6
81.6,31.7
84.2,31.1
86.2,31.3
88.5,31.2
90.5,29.9
92.5,29.9
95,29.2
97,28.8
99,28.3
101.1,27.1
103.1,26.1
105.6,25.9
107.6,26
109.6,26.9
112,26.9
114,26.6
116.5,25.9
118.5,24.9
120.5,24.7
122.4,23.5
124.5,23.6
127,23
128.9,23.8
131,24.1
132.9,23.6
135.2,22.5
137.7,22.7
139.7,22.8
141.8,22.5
143.8,21.6
145.8,22.1
148.4,21
150.4,22.5
152.4,22.8
154.4,22.6
156.7,22.3
159.3,21.9
161.3,21.6
163.3,22.6
165.3,21.9
167.3,21.2
169.8,21.7
171.8,20.3
173.8,20.1
175.8,19.1
177.9,19.5
180.7,20
"Heat Flux",75
"Number of HRR Data Pairs",140
"sec,kw/m2"
0,30
.9,51.6
3.4,97.7
5.4,90.1
7.4,65.7
9.6,41.5
11.6,30.9
14.1,24.8
16.1,20.8
18.1,19
20.1,18.3
22.1,17.8
24.6,17.7
26.6,18.4
28.5,20.1
30.8,20.4
32.7,19.1
35.2,18.9
37.2,37.4
39.2,63.4
41.2,94.4
43.2,109.5
45.6,118.1
47.6,127.2
49.6,134.8
51.6,141.6
53.8,143.1
56.3,147.2
58.2,149.4
60.2,145.9
62.3,138
64.2,129.4
66.7,122.9
68.7,113.9
70.7,108.1
72.6,100.1
74.6,96.4
77.3,91.9
79.3,87.2
81.3,83.5
83.3,78.3
85.2,76.4
87.6,74.2
89.6,72.4
91.6,71
93.6,67.7
95.6,65.6
98.4,63.6
100.4,60.7
102.4,59.4
104.4,58.3
106.4,58.8
108.8,57.1
110.7,55.1
112.7,54.2
114.8,53.3
116.7,52.3
119.2,51.1
121.4,50.9
123.5,51.6
125.4,50.3
127.4,48.6
129.9,47.7
131.9,47.6
133.9,46.8
135.9,44.1
137.9,44.5
140.3,44.5
142.3,44.3
144.5,43.4
146.5,44.6
148.5,43.7
150.9,43.3
152.9,43.4
154.9,42.6
156.9,41.9
158.9,41.1
161.4,41.7
163.4,40.3
165.6,40.9
167.6,39.3
169.6,36.7
172,36.5
174,37.7
176,37.9
178,38
180,39.1
182.4,38.4
184.4,38.2
186.4,35.8
188.6,36.3
190.7,35.4
193,35.3
195,35.6
197,36.5
199,35.5
201,35.1
203.5,34.8
205.5,32.8
207.5,33
209.5,33.1
211.7,33.3
214.1,32.9
216.1,33.3
218.1,33.3
220.1,32.4
222.1,32.4
224.6,31.6
226.6,31.8
228.6,30.9
230.6,30.7
232.8,30.8
235.2,30.9
237.2,31.1
239.1,31.3
241.1,29.2
243.1,29.5
245.6,30.4
247.6,29.1
249.6,29
251.6,28.3
253.6,28.1
256.3,29
258.3,27.8
260.3,28.2
262.3,28.1
264.3,27.6
266.7,27.8
268.7,28.6
270.7,29.3
272.7,28.8
274.7,29.1
277.2,28.5
279.3,28.3
281.3,28.6
283.4,28.1
285.3,28.7
287.8,29.3
289.8,28.2
291.8,27.3
"Ignition Data"
"Number of Pairs",4
"flux kw/m2,ignition time sec, peak hrr kw/m2"
50,104.9,106.3
50,113.8,85.3
75,23.5,149.4
75,24.5,162.5
"Flame Spread Parameter",0
"Min Surface Temp For Spread",0
"Effective Heat of Combustion",0
