"PINEX - fibre insulation board, non FR"
"Number of HRR Curves", 1
"Heat Flux",35
"Number of HRR Data Pairs", 777
"sec,kw/m2"
0.00,30.00
1.88,107.92
3.75,121.37
5.94,123.22
8.13,122.33
10.00,121.99
11.88,120.15
14.06,115.96
15.63,115.84
17.50,112.07
20.63,106.77
21.25,103.84
23.13,102.61
25.00,100.33
26.88,97.12
30.00,95.45
30.94,94.14
33.75,93.13
36.00,91.37
38.44,89.64
40.00,88.32
41.88,86.93
43.75,85.62
45.63,83.31
47.50,81.55
49.38,80.21
51.25,78.67
53.13,77.44
55.00,76.30
56.88,75.71
58.75,74.36
60.63,74.02
62.34,72.80
65.36,71.50
68.13,70.18
69.84,69.69
71.88,69.87
73.75,68.44
75.63,67.37
77.50,67.31
79.22,65.14
81.25,65.58
83.13,64.61
84.84,64.58
86.88,63.93
88.75,63.41
90.63,62.52
92.50,62.81
95.16,62.38
97.97,62.53
100.00,61.41
101.88,60.70
103.75,60.45
105.63,59.64
107.34,59.21
109.38,58.10
111.25,58.11
113.13,58.31
114.84,57.51
116.88,56.33
118.75,55.56
120.63,55.39
122.34,55.89
125.39,56.02
128.13,54.91
130.00,55.65
131.88,54.96
133.75,54.51
135.47,54.26
137.50,53.57
139.38,53.53
141.25,53.08
143.13,52.21
144.84,51.56
146.88,51.79
148.75,51.38
150.63,51.96
152.34,50.53
155.39,50.65
158.13,49.93
160.00,49.24
161.88,49.35
163.75,48.48
165.47,48.71
167.50,48.24
169.38,48.18
171.09,48.13
173.44,48.14
175.00,47.88
176.88,47.77
178.59,48.04
180.94,48.13
182.50,48.34
185.39,47.98
188.13,47.90
190.00,47.74
192.19,46.51
193.59,46.79
195.94,47.17
197.50,46.78
199.38,46.76
201.25,46.67
203.13,46.18
205.00,46.07
206.88,45.98
208.75,45.54
210.63,45.38
212.50,45.12
215.36,44.69
218.13,44.75
220.00,44.48
221.88,44.62
223.75,45.08
225.63,44.61
227.50,44.32
229.69,44.54
231.09,44.35
233.13,44.28
235.00,44.06
237.19,44.86
238.75,43.50
240.63,43.62
242.50,43.29
245.39,43.55
248.13,43.20
250.00,42.63
251.88,43.11
253.75,42.82
255.94,42.49
257.50,42.33
259.38,42.81
261.25,43.23
263.13,42.99
265.00,42.48
266.88,42.37
268.75,42.63
270.94,42.64
272.50,42.53
275.39,42.65
278.13,41.96
281.25,41.51
281.88,41.51
283.75,41.68
285.94,41.72
287.50,41.56
289.38,41.03
291.25,40.75
293.13,41.72
295.00,41.74
296.88,42.85
298.75,42.78
300.63,42.68
