"FR Extruded Polystyrene Board 40 mm, 32 kg/m3 (M03)"
"Number of HRR Curves","02"
"Heat Flux",35
"Number of HRR Data Pairs",50
"sec,kw/m2"
0,52.00
5,186.20
10,279.00
15,290.70
20,285.10
25,289.00
30,302.20
35,311.10
40,310.90
45,311.80
50,313.10
55,309.70
60,301.30
65,298.00
70,291.60
75,277.90
80,261.80
85,247.00
90,232.30
95,217.50
100,204.10
105,192.50
110,178.80
115,166.60
120,154.90
125,143.70
130,132.50
135,122.70
140,114.40
145,106.10
150,97.30
155,86.20
160,73.80
165,61.00
170,48.20
175,37.20
180,27.00
185,19.70
190,15.50
195,11.90
200, 9.50
205,7.10
210,5.40
215,4.10
220,2.50
225,2.00
230,0.40
235,0.70
240,0.20
245,0.00
"Heat Flux",50
"Number of HRR Data Pairs",44
"sec,kw/m2"
0,37.10
5,63.40
10,46.60
15,17.50
20,0.00
25,94.40
30,229.10
35,265.40
40,266.90
45,285.60
50,291.20
55,285.80
60,281.50
65,281.30
70,284.90
75,280.70
80,274.10
85,271.10
90,262.50
95,254.20
100,250.20
105,250.60
110,243.50
115,237.60
120,231.20
125,224.60
130,217.10
135,211.20
140,201.90
145,188.20
150,168.90
155,152.00
160,131.30
165,110.60
170,94.70
175,81.80
180,72.20
185,62.70
190,52.00
195,35.40
200,20.80
205,10.40
210,3.40
215,0.30
"Ignition Data"
"Number of Pairs",2
"flux kw/m2,ignition time sec, peak hrr kw/m2"
35,68,313
50,5,291
"Flame Spread Parameter",0
"Min Surface Temp For Spread",0
"Effective Heat of Combustion",0
