"Material Description"
"Number of HRR Curves","04"
"Heat Flux",25
"Number of HRR Data Pairs",99
"sec,kw/m2"
0,30
4.1,85.1
9.1,132.3
14.1,151.8
19.1,160.6
24.1,164.1
29.1,167.7
34.1,173.7
39.1,184.8
44.1,200.2
49.1,219.6
54.1,248.4
59.1,284.6
64.1,303.7
69.1,295.7
74.1,279.8
79.1,262.6
84.1,214.8
89.1,166.6
94.1,133.6
99.1,117.3
104.1,106.9
109.1,97.5
114.1,85.7
119.1,75.2
124.1,66.1
129.1,59.7
134.1,57.3
139.1,56.1
144.1,55.3
149.1,54.2
154.1,54.1
159.1,53.8
164.1,53.5
169.1,53.1
174.1,53.5
179.1,53.9
184.1,53.5
189.1,53.9
194.1,54.2
199.1,53.3
204.1,53.3
209.1,53.3
214.1,53.1
219.1,53.1
224.1,52.7
229.1,52.2
234.1,48.8
239.1,46.5
244.1,46
249.1,45.6
254.1,45.7
259.1,44.9
264.1,44.9
269.1,45
274.1,44.3
279.1,44
284.1,43.8
289.1,43.3
294.1,42.8
299.1,43.2
304.1,42.7
309.1,42.7
314.1,42.6
319.1,42.6
324.1,42
329.1,42.1
334.1,41.6
339.1,41.2
344.1,40.7
349.1,40.7
354.1,40.3
359.1,40.2
364.1,39.9
369.1,40.1
374.1,39.4
379.1,36.3
384.1,36.1
389.1,35.3
394.1,35.3
399.1,36.1
404.1,35.6
409.1,35.5
414.1,34.7
419.1,34.6
424.1,33.6
429.1,33.8
434.1,33.9
439.1,33.2
444.1,32.7
449.1,32.4
454.1,33
459.1,32.2
464.1,31.8
469.1,31.7
474.1,31.9
479.1,31.7
484.1,31.2
489.1,31.4
"Heat Flux",35
"Number of HRR Data Pairs",213
"sec,kw/m2"
0,30
3.3,69.5
8.3,105.9
13.3,116.5
18.3,118
23.3,117.9
28.3,116.4
33.3,117
38.3,120.2
43.3,130.1
48.3,146.3
53.3,173.6
58.3,199.4
63.3,217.3
68.3,237.7
73.3,265
78.3,269.5
83.3,243.4
88.3,207.3
93.3,172
98.3,146.3
103.3,129
108.3,114
113.3,104.1
118.3,100.6
123.3,87.5
128.3,73.7
133.3,62.5
138.3,58.7
143.3,54.9
148.3,52.7
153.3,50.4
158.3,49.9
163.3,52
168.3,49.5
173.3,49.2
178.3,48
183.3,47.3
188.3,47.5
193.3,47.1
198.3,47.4
203.3,47.8
208.3,47.9
213.3,47.4
218.3,48.1
223.3,48.4
228.3,49.2
233.3,48.9
238.3,50.2
243.3,50.7
248.3,50.6
253.3,50.5
258.3,50.1
263.3,50
268.3,50.4
273.3,50.2
278.3,50
283.3,49.1
288.3,49.1
293.3,49
298.3,49
303.3,48.3
308.3,48.4
313.3,47.3
318.3,47.9
323.3,47.3
328.3,47.1
333.3,46.4
338.3,46.2
343.3,45.4
348.3,45.6
353.3,45.6
358.3,45.9
363.3,45.1
368.3,45.2
373.3,44.8
378.3,44.6
383.3,44.1
388.3,43.8
393.3,43.4
398.3,43.4
403.3,42.5
408.3,42.4
413.3,41.9
418.3,41.6
423.3,41.4
428.3,39.9
433.3,39.9
438.3,39.2
443.3,39.5
448.3,39
453.3,38.6
458.3,36.8
463.3,34.9
468.3,32.9
473.3,32.7
478.3,31.5
483.3,31
488.3,29.8
493.3,29.8
498.3,28.9
503.3,29.6
508.3,28.5
513.3,28.2
518.3,27.9
523.3,27.5
528.3,27.4
533.3,26.5
538.3,26.6
543.3,25.9
548.3,25.5
553.3,25.2
558.3,24.5
563.3,24
568.3,23.3
573.3,22.3
578.3,21.4
583.3,22
588.3,20.8
593.3,19.4
598.3,18.5
603.3,17.7
608.3,17.7
613.3,17.6
618.3,16.2
623.3,14.3
628.3,14.8
633.3,19.3
638.3,15.7
643.3,12.2
648.3,12.1
653.3,11.1
658.3,12.2
663.3,14.5
668.3,10.9
673.3,11.9
678.3,11
683.3,8.8
688.3,11.5
693.3,10.8
698.3,7.9
703.3,8.7
708.3,8.2
713.3,7.8
718.3,8.7
723.3,8.3
728.3,8
733.3,5.7
738.3,4.8
743.3,4.6
748.3,3.3
753.3,2.5
758.3,2.8
763.3,3.7
768.3,3.6
773.3,2.7
778.3,3
783.3,3
788.3,2.9
793.3,2.6
798.3,2.7
803.3,1.5
808.3,2
813.3,1.6
818.3,.9
823.3,1.2
828.3,.2
833.3,.9
838.3,0
843.3,.5
848.3,0
853.3,0
858.3,.3
863.3,0
868.3,0
873.3,0
878.3,0
883.3,0
888.3,0
893.3,0
898.3,0
903.3,0
908.3,0
913.3,0
918.3,0
923.3,0
928.3,0
933.3,0
938.3,0
943.3,0
948.3,0
953.3,0
958.3,0
963.3,0
968.3,0
973.3,0
978.3,0
983.3,0
988.3,0
993.3,0
998.3,0
1003.3,0
1008.3,0
1013.3,0
1018.3,0
1023.3,0
1028.3,0
1033.3,0
1038.3,0
1043.3,0
1048.3,0
1053.3,0
1058.3,0
"Heat Flux",50
"Number of HRR Data Pairs",266
"sec,kw/m2"
0,30
.6,33.7
5.6,100.6
10.6,122.1
15.6,118.7
20.6,116
25.6,118.5
30.6,124.6
35.6,129.3
40.6,127.3
45.6,128.9
50.6,138.5
55.6,157.4
60.6,182.6
65.6,226.2
70.6,277.2
75.6,297.4
80.6,271
85.6,226.6
90.6,182.4
95.6,156.6
100.6,140.6
105.6,120.1
110.6,95.5
115.6,76.3
120.6,63.2
125.6,58.4
130.6,50.6
135.6,44.6
140.6,40.6
145.6,39.2
150.6,38.5
155.6,39.6
160.6,38.4
165.6,37.1
170.6,37.1
175.6,37
180.6,36.5
185.6,38.3
190.6,37.4
195.6,37.2
200.6,35.4
205.6,35.3
210.6,38.9
215.6,36
220.6,34.3
225.6,35.1
230.6,36.8
235.6,37.3
240.6,37.3
245.6,38
250.6,37.1
255.6,36.9
260.6,36.7
265.6,35.9
270.6,36.6
275.6,36.5
280.6,35.9
285.6,35.2
290.6,35.1
295.6,35
300.6,34.4
305.6,34.6
310.6,34.6
315.6,34.1
320.6,34.3
325.6,34.7
330.6,33.6
335.6,34.1
340.6,33.7
345.6,33.9
350.6,34.1
355.6,33.5
360.6,33.7
365.6,33.7
370.6,33.6
375.6,33.8
380.6,32.9
385.6,32.7
390.6,32.5
395.6,32.9
400.6,32.4
405.6,33.3
410.6,33.6
415.6,32
420.6,30.8
425.6,34.1
430.6,31.1
435.6,27.7
440.6,30.8
445.6,31.8
450.6,33.2
455.6,33.9
460.6,34.2
465.6,33.5
470.6,33.7
475.6,34.1
480.6,33.4
485.6,33
490.6,32.4
495.6,33.1
500.6,33.1
505.6,32.2
510.6,32.6
515.6,33
520.6,32
525.6,32
530.6,31.3
535.6,31.1
540.6,31.4
545.6,31
