"Material Description"
"Number of HRR Curves","03"
"Heat Flux",25
"Number of HRR Data Pairs",104
"sec,kw/m2"
0,30
.3,31.5
5.3,124.3
10.3,203.6
15.3,242.6
20.3,237.6
25.3,205.1
30.3,177.8
35.3,165.6
40.3,164
45.3,164.9
50.3,165.9
55.3,177.2
60.3,187.6
65.3,209.3
70.3,220.1
75.3,224.7
80.3,211.9
85.3,189.1
90.3,160.7
95.3,146.5
100.3,131.9
105.3,117.8
110.3,103.6
115.3,91.7
120.3,79.9
125.3,69.9
130.3,61.3
135.3,56
140.3,51.3
145.3,46.6
150.3,44.1
155.3,42.6
160.3,43.5
165.3,42.7
170.3,43.3
175.3,42
180.3,43.3
185.3,43.5
190.3,43.5
195.3,43.2
200.3,42.3
205.3,44.1
210.3,42.3
215.3,42.9
220.3,42.4
225.3,41.8
230.3,42.4
235.3,42.1
240.3,42.7
245.3,42.2
250.3,42
255.3,42.8
260.3,42.2
265.3,42.8
270.3,41.2
275.3,40.9
280.3,41.3
285.3,39.4
290.3,39.9
295.3,39
300.3,39.2
305.3,39.7
310.3,39.8
315.3,40.1
320.3,40.2
325.3,39.4
330.3,40.1
335.3,39.1
340.3,38.6
345.3,39
350.3,38
355.3,37.1
360.3,37.7
365.3,37
370.3,37.7
375.3,37.6
380.3,37.6
385.3,37.2
390.3,37.5
395.3,36.3
400.3,36.3
405.3,36.1
410.3,35.3
415.3,35.3
420.3,36.1
425.3,35.6
430.3,35.5
435.3,34.7
440.3,34.6
445.3,33.6
450.3,33.8
455.3,33.9
460.3,33.2
465.3,32.7
470.3,32.4
475.3,33
480.3,32.2
485.3,31.8
490.3,31.7
495.3,31.9
500.3,31.7
505.3,31.2
510.3,31.4
"Heat Flux",35
"Number of HRR Data Pairs",90
"sec,kw/m2"
0,30
3,71
8,153.8
13,171.8
18,165.1
23,151.2
28,139.4
33,136.7
38,139.2
43,144.3
48,154.6
53,169.8
58,186.5
63,208.7
68,239.3
73,273.4
78,321.9
83,332.6
88,256.5
93,169.9
98,121.3
103,92.2
108,78.1
113,72.2
118,67.9
123,63.6
128,61.6
133,60.4
138,58.4
143,54
148,51.1
153,50.2
158,49
163,47.7
168,48
173,46.5
178,46.4
183,45.7
188,44.6
193,45.1
198,45.2
203,44
208,43.7
213,43.4
218,42.2
223,42.6
228,42.8
233,41.6
238,41
243,40.9
248,39.5
253,40.3
258,39.7
263,38.3
268,38.9
273,39.3
278,38.8
283,37.6
288,37.1
293,37.7
298,37.2
303,36.6
308,35.7
313,36.2
318,34.3
323,35.2
328,34.9
333,33.5
338,34
343,32.7
348,32.3
353,31.5
358,30.4
363,31
368,28.8
373,29.3
378,27.5
383,28
388,26.6
393,27.2
398,25.4
403,25.2
408,25
413,23.4
418,24.6
423,22
428,22.8
433,20.9
438,22.3
443,20.7
"Heat Flux",50
"Number of HRR Data Pairs",114
"sec,kw/m2"
0,30
1.9,47.9
6.9,139
11.9,167.9
16.9,161.6
21.9,148.3
26.9,138.4
31.9,136.7
36.9,145
41.9,158.1
46.9,169.4
51.9,186.6
56.9,206.2
61.9,236.4
66.9,268.2
71.9,291.9
76.9,330.6
81.9,388.3
86.9,423.8
91.9,397.4
96.9,356.3
101.9,312
106.9,255.8
111.9,195.4
116.9,141.6
121.9,109
126.9,94.8
131.9,88.8
136.9,82.3
141.9,73.9
146.9,65.7
151.9,61.1
156.9,55.7
161.9,53.1
166.9,52.5
171.9,50.3
176.9,47.6
181.9,47.4
186.9,47.5
191.9,45.1
196.9,45.5
201.9,45.8
206.9,43.5
211.9,43.6
216.9,43.2
221.9,41.7
226.9,43.1
231.9,43.2
236.9,41.8
241.9,42.6
246.9,41.5
251.9,40.7
256.9,41.1
261.9,41.5
266.9,39.9
271.9,41.3
276.9,41.7
281.9,41
286.9,39.2
291.9,40.7
296.9,40.6
301.9,39.5
306.9,39.6
311.9,41.2
316.9,38.8
321.9,38.7
326.9,40
331.9,38.8
336.9,38.6
341.9,39.9
346.9,38.6
351.9,39.4
356.9,38.9
361.9,38.4
366.9,39.5
371.9,38.1
376.9,38.8
381.9,37.7
386.9,38.3
391.9,37.2
396.9,37.2
401.9,37.6
406.9,35.6
411.9,37.3
416.9,36.4
421.9,36.7
426.9,35.9
431.9,35.4
436.9,36.1
441.9,35.2
446.9,35.8
451.9,35.2
456.9,34.6
461.9,34.7
466.9,33.9
471.9,33.7
476.9,33.2
481.9,33.1
486.9,32.6
491.9,32.6
496.9,31.6
501.9,31.4
506.9,30.7
511.9,30
516.9,30
521.9,29.7
526.9,29.7
531.9,29
536.9,28.6
541.9,28.3
546.9,27.9
551.9,27.9
556.9,27.6
561.9,26.9
"Ignition Data"
"Number of Pairs",11
"flux kw/m2,ignition time sec, peak hrr kw/m2"
25,99.7,242.6
25,146.8,307.5
25,93.2,270
35,52,332.6
35,56.7,267.5
35,51.2,270.8
50,38.1,423.8
50,30.2,446.8
60,18,422.922
60,17,297.309
60,15,317.431
"Flame Spread Parameter",0
"Min Surface Temp For Spread",0
"Effective Heat of Combustion",0
